year,Vernice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,7
1889,6
1890,0
1891,0
1892,10
1893,14
1894,9
1895,6
1896,19
1897,11
1898,17
1899,12
1900,20
1901,20
1902,22
1903,14
1904,23
1905,31
1906,30
1907,36
1908,41
1909,29
1910,55
1911,58
1912,85
1913,97
1914,129
1915,164
1916,169
1917,161
1918,189
1919,234
1920,190
1921,227
1922,229
1923,245
1924,194
1925,184
1926,197
1927,201
1928,176
1929,141
1930,164
1931,159
1932,144
1933,128
1934,127
1935,122
1936,121
1937,108
1938,108
1939,99
1940,82
1941,97
1942,82
1943,96
1944,94
1945,81
1946,77
1947,96
1948,87
1949,108
1950,102
1951,91
1952,92
1953,94
1954,99
1955,112
1956,87
1957,92
1958,93
1959,92
1960,80
1961,68
1962,68
1963,66
1964,66
1965,59
1966,40
1967,51
1968,45
1969,47
1970,35
1971,42
1972,47
1973,39
1974,23
1975,23
1976,21
1977,17
1978,26
1979,19
1980,21
1981,15
1982,29
1983,12
1984,26
1985,19
1986,14
1987,12
1988,16
1989,16
1990,20
1991,16
1992,18
1993,12
1994,13
1995,12
1996,8
1997,10
1998,10
1999,11
2000,8
2001,6
2002,7
2003,0
2004,0
2005,0
2006,5
2007,0
2008,9
2009,5
2010,0
2011,5
2012,0
