year,Vianna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,5
1905,7
1906,5
1907,0
1908,0
1909,0
1910,0
1911,6
1912,0
1913,7
1914,0
1915,11
1916,7
1917,5
1918,12
1919,8
1920,7
1921,12
1922,0
1923,0
1924,5
1925,0
1926,8
1927,7
1928,5
1929,8
1930,0
1931,0
1932,0
1933,0
1934,5
1935,8
1936,0
1937,0
1938,16
1939,8
1940,0
1941,5
1942,0
1943,7
1944,5
1945,8
1946,7
1947,12
1948,8
1949,5
1950,0
1951,10
1952,12
1953,6
1954,6
1955,6
1956,7
1957,11
1958,9
1959,0
1960,8
1961,11
1962,5
1963,7
1964,0
1965,0
1966,0
1967,0
1968,0
1969,5
1970,0
1971,5
1972,0
1973,0
1974,0
1975,5
1976,5
1977,0
1978,6
1979,0
1980,0
1981,0
1982,7
1983,5
1984,5
1985,6
1986,8
1987,6
1988,11
1989,6
1990,16
1991,12
1992,11
1993,17
1994,13
1995,25
1996,27
1997,19
1998,28
1999,35
2000,29
2001,41
2002,50
2003,33
2004,35
2005,30
2006,37
2007,46
2008,39
2009,36
2010,81
2011,43
2012,36
