year,Vince
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,9
1909,0
1910,0
1911,0
1912,11
1913,15
1914,15
1915,14
1916,14
1917,16
1918,25
1919,21
1920,12
1921,17
1922,20
1923,16
1924,13
1925,22
1926,9
1927,25
1928,14
1929,20
1930,20
1931,18
1932,14
1933,18
1934,18
1935,28
1936,29
1937,34
1938,29
1939,27
1940,42
1941,42
1942,57
1943,50
1944,37
1945,38
1946,48
1947,72
1948,55
1949,65
1950,63
1951,52
1952,63
1953,73
1954,106
1955,116
1956,136
1957,179
1958,283
1959,324
1960,335
1961,327
1962,593
1963,594
1964,442
1965,388
1966,288
1967,264
1968,222
1969,216
1970,248
1971,172
1972,120
1973,85
1974,99
1975,83
1976,67
1977,59
1978,78
1979,78
1980,86
1981,76
1982,87
1983,73
1984,83
1985,96
1986,98
1987,90
1988,106
1989,111
1990,135
1991,127
1992,124
1993,102
1994,100
1995,110
1996,90
1997,86
1998,91
1999,81
2000,87
2001,100
2002,106
2003,117
2004,108
2005,119
2006,175
2007,197
2008,156
2009,136
2010,158
2011,161
2012,151
