year,Vincent (F),Vincent (M)
1880,0.000000,0.000203
1881,0.000000,0.000156
1882,0.000000,0.000172
1883,0.000000,0.000198
1884,0.000000,0.000209
1885,0.000000,0.000199
1886,0.000000,0.000196
1887,0.000000,0.000210
1888,0.000000,0.000224
1889,0.000000,0.000225
1890,0.000000,0.000202
1891,0.000000,0.000258
1892,0.000000,0.000278
1893,0.000000,0.000252
1894,0.000000,0.000278
1895,0.000000,0.000382
1896,0.000000,0.000313
1897,0.000000,0.000323
1898,0.000000,0.000367
1899,0.000000,0.000368
1900,0.000000,0.000393
1901,0.000000,0.000379
1902,0.000000,0.000383
1903,0.000000,0.000446
1904,0.000000,0.000511
1905,0.000000,0.000415
1906,0.000000,0.000450
1907,0.000000,0.000514
1908,0.000000,0.000512
1909,0.000000,0.000516
1910,0.000000,0.000581
1911,0.000016,0.000770
1912,0.000005,0.001192
1913,0.000007,0.001343
1914,0.000005,0.001385
1915,0.000007,0.001359
1916,0.000004,0.001292
1917,0.000006,0.001314
1918,0.000006,0.001207
1919,0.000005,0.001199
1920,0.000005,0.001176
1921,0.000005,0.001190
1922,0.000005,0.001184
1923,0.000004,0.001181
1924,0.000003,0.001108
1925,0.000009,0.001188
1926,0.000007,0.001108
1927,0.000006,0.001142
1928,0.000008,0.001078
1929,0.000007,0.001063
1930,0.000007,0.001042
1931,0.000006,0.001026
1932,0.000004,0.000979
1933,0.000006,0.000992
1934,0.000005,0.000899
1935,0.000000,0.000859
1936,0.000003,0.000836
1937,0.000006,0.000862
1938,0.000003,0.000829
1939,0.000004,0.000821
1940,0.000000,0.000858
1941,0.000003,0.000841
1942,0.000003,0.000871
1943,0.000003,0.000857
1944,0.000003,0.000754
1945,0.000002,0.000799
1946,0.000002,0.000759
1947,0.000002,0.000778
1948,0.000003,0.000808
1949,0.000003,0.000835
1950,0.000003,0.000834
1951,0.000003,0.000794
1952,0.000003,0.000835
1953,0.000003,0.000824
1954,0.000003,0.000843
1955,0.000001,0.000867
1956,0.000002,0.000912
1957,0.000002,0.000970
1958,0.000004,0.001032
1959,0.000003,0.001013
1960,0.000004,0.001053
1961,0.000005,0.001042
1962,0.000006,0.001527
1963,0.000008,0.001554
1964,0.000005,0.001460
1965,0.000010,0.001497
1966,0.000013,0.001422
1967,0.000006,0.001295
1968,0.000008,0.001178
1969,0.000008,0.001168
1970,0.000008,0.001116
1971,0.000007,0.001002
1972,0.000009,0.000873
1973,0.000006,0.000889
1974,0.000004,0.000801
1975,0.000006,0.000789
1976,0.000005,0.000809
1977,0.000005,0.000774
1978,0.000008,0.000790
1979,0.000007,0.000758
1980,0.000006,0.000783
1981,0.000008,0.000800
1982,0.000006,0.000817
1983,0.000006,0.000836
1984,0.000006,0.000853
1985,0.000009,0.000852
1986,0.000006,0.000870
1987,0.000007,0.000880
1988,0.000010,0.001098
1989,0.000007,0.001169
1990,0.000004,0.001215
1991,0.000003,0.001153
1992,0.000004,0.001069
1993,0.000003,0.000978
1994,0.000002,0.000969
1995,0.000001,0.000906
1996,0.000000,0.000916
1997,0.000001,0.000881
1998,0.000002,0.000842
1999,0.000001,0.000830
2000,0.000002,0.000856
2001,0.000002,0.000855
2002,0.000002,0.000852
2003,0.000002,0.000899
2004,0.000003,0.000896
2005,0.000002,0.000974
2006,0.000002,0.001019
2007,0.000001,0.000990
2008,0.000000,0.000912
2009,0.000000,0.000915
2010,0.000002,0.000955
2011,0.000000,0.001039
2012,0.000000,0.001021
2013,0.000000,0.001059
2014,0.000000,0.001016
2015,0.000002,0.001007
2016,0.000002,0.001046
2017,0.000002,0.001027
2018,0.000000,0.001017
2019,0.000001,0.000966
2020,0.000000,0.000914
