year,Vincenzo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,5
1904,9
1905,6
1906,9
1907,10
1908,11
1909,0
1910,5
1911,21
1912,24
1913,34
1914,43
1915,43
1916,40
1917,46
1918,48
1919,29
1920,41
1921,33
1922,29
1923,14
1924,17
1925,18
1926,20
1927,27
1928,15
1929,22
1930,15
1931,12
1932,10
1933,0
1934,7
1935,0
1936,5
1937,6
1938,5
1939,7
1940,0
1941,5
1942,0
1943,6
1944,0
1945,6
1946,0
1947,0
1948,0
1949,0
1950,5
1951,7
1952,7
1953,0
1954,5
1955,0
1956,7
1957,8
1958,14
1959,10
1960,12
1961,23
1962,30
1963,27
1964,26
1965,39
1966,32
1967,41
1968,44
1969,52
1970,67
1971,70
1972,61
1973,75
1974,63
1975,71
1976,66
1977,67
1978,66
1979,68
1980,79
1981,77
1982,82
1983,57
1984,70
1985,62
1986,56
1987,62
1988,90
1989,99
1990,111
1991,105
1992,101
1993,102
1994,117
1995,115
1996,124
1997,124
1998,145
1999,125
2000,149
2001,133
2002,153
2003,157
2004,180
2005,201
2006,232
2007,234
2008,188
2009,220
2010,236
2011,296
2012,304
