year,Vernell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,8
1903,0
1904,6
1905,8
1906,7
1907,10
1908,9
1909,12
1910,16
1911,26
1912,31
1913,37
1914,52
1915,74
1916,77
1917,89
1918,126
1919,124
1920,140
1921,143
1922,153
1923,179
1924,204
1925,189
1926,194
1927,176
1928,189
1929,172
1930,193
1931,199
1932,213
1933,186
1934,212
1935,215
1936,178
1937,188
1938,205
1939,161
1940,191
1941,161
1942,161
1943,203
1944,164
1945,165
1946,181
1947,198
1948,199
1949,190
1950,192
1951,183
1952,186
1953,197
1954,193
1955,172
1956,171
1957,171
1958,143
1959,137
1960,136
1961,117
1962,147
1963,104
1964,120
1965,108
1966,56
1967,97
1968,92
1969,77
1970,96
1971,71
1972,67
1973,62
1974,46
1975,54
1976,48
1977,50
1978,47
1979,50
1980,44
1981,38
1982,34
1983,45
1984,43
1985,39
1986,34
1987,32
1988,40
1989,39
1990,30
1991,32
1992,23
1993,41
1994,34
1995,28
1996,14
1997,19
1998,23
1999,22
2000,19
2001,12
2002,6
2003,20
2004,15
2005,17
2006,16
2007,10
2008,9
2009,11
2010,6
2011,15
2012,7
