year,Victory
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,7
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,8
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,9
1917,0
1918,99
1919,32
1920,13
1921,0
1922,10
1923,0
1924,14
1925,7
1926,11
1927,11
1928,10
1929,5
1930,0
1931,0
1932,5
1933,6
1934,0
1935,0
1936,7
1937,0
1938,5
1939,5
1940,5
1941,0
1942,64
1943,57
1944,30
1945,54
1946,0
1947,0
1948,6
1949,0
1950,8
1951,0
1952,5
1953,0
1954,5
1955,7
1956,7
1957,0
1958,14
1959,10
1960,7
1961,16
1962,25
1963,21
1964,16
1965,17
1966,19
1967,6
1968,18
1969,13
1970,17
1971,0
1972,7
1973,12
1974,8
1975,10
1976,13
1977,0
1978,17
1979,0
1980,10
1981,17
1982,6
1983,15
1984,15
1985,13
1986,7
1987,5
1988,16
1989,13
1990,12
1991,18
1992,18
1993,18
1994,21
1995,16
1996,24
1997,27
1998,24
1999,15
2000,13
2001,15
2002,24
2003,27
2004,22
2005,30
2006,32
2007,34
2008,46
2009,74
2010,63
2011,52
2012,52
