year,Venus
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,7
1889,5
1890,7
1891,8
1892,5
1893,6
1894,8
1895,15
1896,13
1897,14
1898,11
1899,9
1900,15
1901,6
1902,20
1903,7
1904,9
1905,13
1906,9
1907,13
1908,11
1909,13
1910,15
1911,17
1912,24
1913,24
1914,20
1915,43
1916,47
1917,29
1918,42
1919,32
1920,35
1921,47
1922,39
1923,43
1924,36
1925,31
1926,26
1927,28
1928,34
1929,18
1930,27
1931,29
1932,24
1933,21
1934,22
1935,14
1936,16
1937,13
1938,12
1939,13
1940,16
1941,11
1942,11
1943,11
1944,15
1945,13
1946,21
1947,25
1948,20
1949,43
1950,46
1951,35
1952,44
1953,37
1954,61
1955,98
1956,112
1957,103
1958,106
1959,295
1960,180
1961,211
1962,168
1963,201
1964,178
1965,167
1966,171
1967,208
1968,151
1969,145
1970,188
1971,225
1972,227
1973,224
1974,216
1975,210
1976,217
1977,208
1978,219
1979,190
1980,194
1981,151
1982,164
1983,95
1984,88
1985,79
1986,69
1987,67
1988,46
1989,76
1990,41
1991,45
1992,46
1993,46
1994,52
1995,39
1996,34
1997,70
1998,78
1999,60
2000,85
2001,75
2002,84
2003,55
2004,50
2005,73
2006,53
2007,66
2008,114
2009,92
2010,87
2011,66
2012,75
