year,Vivienne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,9
1897,6
1898,10
1899,0
1900,10
1901,5
1902,7
1903,8
1904,8
1905,9
1906,11
1907,11
1908,12
1909,11
1910,16
1911,43
1912,33
1913,45
1914,73
1915,88
1916,81
1917,95
1918,110
1919,93
1920,95
1921,82
1922,74
1923,67
1924,65
1925,52
1926,67
1927,64
1928,49
1929,54
1930,64
1931,44
1932,46
1933,36
1934,26
1935,24
1936,12
1937,10
1938,24
1939,20
1940,11
1941,33
1942,34
1943,37
1944,31
1945,23
1946,39
1947,37
1948,35
1949,32
1950,29
1951,24
1952,28
1953,27
1954,27
1955,31
1956,30
1957,37
1958,32
1959,33
1960,27
1961,33
1962,24
1963,23
1964,27
1965,26
1966,11
1967,18
1968,9
1969,11
1970,16
1971,18
1972,9
1973,10
1974,8
1975,11
1976,10
1977,6
1978,10
1979,13
1980,7
1981,10
1982,11
1983,16
1984,6
1985,9
1986,11
1987,16
1988,9
1989,16
1990,23
1991,20
1992,20
1993,19
1994,32
1995,26
1996,23
1997,33
1998,36
1999,65
2000,50
2001,63
2002,70
2003,109
2004,94
2005,120
2006,111
2007,152
2008,229
2009,569
2010,729
2011,824
2012,985
