year,Vita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,6
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,9
1901,9
1902,7
1903,0
1904,13
1905,10
1906,13
1907,9
1908,8
1909,15
1910,12
1911,17
1912,28
1913,44
1914,50
1915,69
1916,57
1917,65
1918,68
1919,58
1920,67
1921,84
1922,58
1923,80
1924,68
1925,60
1926,74
1927,81
1928,74
1929,79
1930,59
1931,41
1932,68
1933,46
1934,37
1935,55
1936,43
1937,49
1938,49
1939,37
1940,37
1941,52
1942,55
1943,50
1944,29
1945,40
1946,48
1947,49
1948,60
1949,40
1950,59
1951,44
1952,51
1953,56
1954,43
1955,67
1956,61
1957,63
1958,50
1959,45
1960,47
1961,56
1962,59
1963,48
1964,61
1965,37
1966,44
1967,42
1968,42
1969,40
1970,39
1971,32
1972,28
1973,35
1974,28
1975,29
1976,30
1977,22
1978,23
1979,22
1980,32
1981,35
1982,19
1983,21
1984,11
1985,12
1986,16
1987,8
1988,7
1989,18
1990,16
1991,18
1992,13
1993,13
1994,14
1995,14
1996,12
1997,20
1998,18
1999,13
2000,14
2001,20
2002,22
2003,16
2004,10
2005,10
2006,23
2007,28
2008,18
2009,24
2010,23
2011,36
2012,32
