year,Vanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,5
1909,0
1910,0
1911,0
1912,5
1913,0
1914,0
1915,0
1916,0
1917,0
1918,7
1919,0
1920,6
1921,5
1922,7
1923,9
1924,0
1925,10
1926,0
1927,6
1928,0
1929,6
1930,0
1931,0
1932,8
1933,8
1934,0
1935,6
1936,6
1937,8
1938,6
1939,5
1940,10
1941,9
1942,6
1943,11
1944,13
1945,13
1946,15
1947,9
1948,17
1949,18
1950,15
1951,10
1952,11
1953,7
1954,9
1955,11
1956,15
1957,10
1958,14
1959,6
1960,9
1961,12
1962,12
1963,15
1964,5
1965,8
1966,0
1967,0
1968,7
1969,6
1970,0
1971,7
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,8
1982,13
1983,22
1984,39
1985,78
1986,122
1987,101
1988,64
1989,67
1990,26
1991,30
1992,29
1993,21
1994,18
1995,27
1996,25
1997,21
1998,11
1999,21
2000,17
2001,12
2002,15
2003,13
2004,22
2005,23
2006,16
2007,17
2008,20
2009,23
2010,20
2011,35
2012,35
