year,Vinnie
1880,20
1881,24
1882,24
1883,25
1884,33
1885,28
1886,31
1887,25
1888,30
1889,30
1890,33
1891,36
1892,37
1893,25
1894,39
1895,37
1896,32
1897,46
1898,42
1899,31
1900,43
1901,27
1902,25
1903,24
1904,36
1905,24
1906,34
1907,24
1908,33
1909,27
1910,27
1911,25
1912,38
1913,34
1914,38
1915,60
1916,66
1917,64
1918,56
1919,57
1920,64
1921,52
1922,55
1923,46
1924,61
1925,45
1926,35
1927,31
1928,47
1929,41
1930,48
1931,50
1932,45
1933,34
1934,28
1935,38
1936,32
1937,41
1938,36
1939,27
1940,30
1941,22
1942,30
1943,39
1944,24
1945,34
1946,41
1947,48
1948,51
1949,28
1950,29
1951,47
1952,45
1953,31
1954,39
1955,34
1956,32
1957,49
1958,29
1959,29
1960,44
1961,29
1962,35
1963,32
1964,23
1965,20
1966,17
1967,18
1968,17
1969,21
1970,12
1971,13
1972,16
1973,7
1974,16
1975,6
1976,6
1977,14
1978,21
1979,18
1980,6
1981,12
1982,10
1983,8
1984,0
1985,0
1986,5
1987,11
1988,18
1989,26
1990,15
1991,21
1992,25
1993,23
1994,12
1995,13
1996,21
1997,12
1998,14
1999,9
2000,18
2001,11
2002,11
2003,0
2004,14
2005,8
2006,5
2007,13
2008,13
2009,7
2010,11
2011,13
2012,12
