year,Vernal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,5
1895,0
1896,7
1897,10
1898,7
1899,0
1900,0
1901,0
1902,15
1903,0
1904,11
1905,8
1906,0
1907,14
1908,7
1909,7
1910,22
1911,9
1912,29
1913,24
1914,34
1915,44
1916,54
1917,52
1918,38
1919,58
1920,63
1921,56
1922,58
1923,56
1924,45
1925,38
1926,52
1927,44
1928,35
1929,52
1930,43
1931,40
1932,50
1933,40
1934,43
1935,41
1936,34
1937,29
1938,36
1939,32
1940,43
1941,33
1942,30
1943,29
1944,24
1945,23
1946,28
1947,26
1948,24
1949,41
1950,18
1951,21
1952,21
1953,25
1954,25
1955,14
1956,18
1957,20
1958,16
1959,18
1960,19
1961,14
1962,21
1963,13
1964,16
1965,10
1966,19
1967,9
1968,10
1969,14
1970,10
1971,8
1972,11
1973,13
1974,9
1975,11
1976,7
1977,0
1978,7
1979,5
1980,8
1981,8
1982,8
1983,7
1984,7
1985,7
1986,6
1987,6
1988,7
1989,0
1990,6
1991,0
1992,0
1993,7
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
