year,Vonnie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,10
1891,0
1892,6
1893,0
1894,0
1895,6
1896,0
1897,0
1898,8
1899,5
1900,10
1901,9
1902,12
1903,12
1904,10
1905,10
1906,9
1907,10
1908,15
1909,12
1910,22
1911,18
1912,23
1913,17
1914,49
1915,43
1916,38
1917,40
1918,34
1919,46
1920,47
1921,30
1922,42
1923,38
1924,49
1925,41
1926,36
1927,31
1928,52
1929,41
1930,57
1931,62
1932,44
1933,64
1934,79
1935,76
1936,74
1937,72
1938,84
1939,56
1940,61
1941,73
1942,72
1943,95
1944,66
1945,79
1946,74
1947,73
1948,96
1949,94
1950,101
1951,100
1952,64
1953,88
1954,93
1955,101
1956,79
1957,90
1958,94
1959,111
1960,86
1961,81
1962,91
1963,56
1964,52
1965,48
1966,43
1967,35
1968,35
1969,42
1970,25
1971,16
1972,28
1973,18
1974,7
1975,10
1976,16
1977,7
1978,9
1979,9
1980,19
1981,12
1982,7
1983,10
1984,6
1985,8
1986,0
1987,0
1988,0
1989,5
1990,0
1991,8
1992,6
1993,0
1994,6
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,7
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
