year,Verne
1880,11
1881,15
1882,11
1883,6
1884,16
1885,21
1886,18
1887,8
1888,11
1889,28
1890,32
1891,26
1892,34
1893,39
1894,20
1895,28
1896,25
1897,40
1898,30
1899,20
1900,27
1901,35
1902,31
1903,29
1904,30
1905,24
1906,34
1907,42
1908,27
1909,38
1910,37
1911,29
1912,59
1913,97
1914,118
1915,157
1916,164
1917,188
1918,190
1919,200
1920,151
1921,181
1922,172
1923,173
1924,161
1925,157
1926,155
1927,135
1928,159
1929,128
1930,130
1931,110
1932,126
1933,105
1934,98
1935,105
1936,96
1937,81
1938,94
1939,82
1940,70
1941,94
1942,104
1943,84
1944,85
1945,73
1946,93
1947,85
1948,89
1949,78
1950,80
1951,85
1952,83
1953,93
1954,98
1955,83
1956,57
1957,60
1958,49
1959,48
1960,47
1961,46
1962,34
1963,50
1964,25
1965,26
1966,33
1967,24
1968,26
1969,24
1970,12
1971,19
1972,8
1973,15
1974,12
1975,12
1976,15
1977,10
1978,14
1979,8
1980,16
1981,5
1982,11
1983,10
1984,6
1985,11
1986,5
1987,5
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
