year,Verlin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,8
1906,0
1907,6
1908,7
1909,8
1910,6
1911,13
1912,30
1913,36
1914,42
1915,62
1916,90
1917,78
1918,90
1919,78
1920,93
1921,80
1922,95
1923,81
1924,93
1925,98
1926,95
1927,86
1928,80
1929,131
1930,77
1931,107
1932,101
1933,87
1934,83
1935,78
1936,88
1937,102
1938,87
1939,71
1940,79
1941,66
1942,73
1943,87
1944,65
1945,54
1946,63
1947,48
1948,57
1949,45
1950,59
1951,56
1952,64
1953,45
1954,42
1955,44
1956,56
1957,51
1958,40
1959,32
1960,39
1961,36
1962,37
1963,19
1964,30
1965,30
1966,24
1967,26
1968,18
1969,24
1970,20
1971,21
1972,15
1973,20
1974,13
1975,15
1976,13
1977,11
1978,16
1979,10
1980,12
1981,11
1982,11
1983,10
1984,9
1985,8
1986,10
1987,5
1988,7
1989,0
1990,7
1991,9
1992,7
1993,6
1994,0
1995,8
1996,9
1997,0
1998,0
1999,6
2000,5
2001,5
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
