year,Valerie
1880,0
1881,0
1882,0
1883,0
1884,8
1885,0
1886,0
1887,7
1888,5
1889,12
1890,12
1891,12
1892,11
1893,10
1894,17
1895,19
1896,11
1897,16
1898,21
1899,12
1900,21
1901,19
1902,19
1903,17
1904,27
1905,25
1906,25
1907,31
1908,28
1909,47
1910,45
1911,58
1912,87
1913,116
1914,103
1915,171
1916,179
1917,182
1918,202
1919,171
1920,170
1921,190
1922,147
1923,155
1924,172
1925,151
1926,171
1927,195
1928,180
1929,179
1930,223
1931,244
1932,276
1933,293
1934,319
1935,486
1936,458
1937,494
1938,550
1939,622
1940,807
1941,753
1942,1016
1943,955
1944,920
1945,1080
1946,1439
1947,1553
1948,2135
1949,3059
1950,3035
1951,3566
1952,4272
1953,4591
1954,4932
1955,5521
1956,5927
1957,6244
1958,6937
1959,7323
1960,6732
1961,6699
1962,6355
1963,6184
1964,6628
1965,5666
1966,4828
1967,4776
1968,4559
1969,4305
1970,4145
1971,3694
1972,3212
1973,3061
1974,3196
1975,3239
1976,3397
1977,3282
1978,3315
1979,3431
1980,3638
1981,3625
1982,4004
1983,3921
1984,3738
1985,3896
1986,3636
1987,2975
1988,2776
1989,2572
1990,2444
1991,2389
1992,2347
1993,2184
1994,2008
1995,2190
1996,2080
1997,2223
1998,2143
1999,2037
2000,2021
2001,1986
2002,2112
2003,1915
2004,1910
2005,2039
2006,2743
2007,2423
2008,2504
2009,2317
2010,2063
2011,1954
2012,1861
