year,Vern
1880,19
1881,18
1882,28
1883,23
1884,20
1885,29
1886,22
1887,28
1888,28
1889,29
1890,37
1891,40
1892,41
1893,40
1894,40
1895,43
1896,36
1897,27
1898,34
1899,30
1900,43
1901,38
1902,30
1903,28
1904,27
1905,39
1906,40
1907,46
1908,51
1909,50
1910,40
1911,51
1912,96
1913,132
1914,168
1915,225
1916,223
1917,212
1918,262
1919,239
1920,282
1921,276
1922,279
1923,253
1924,260
1925,251
1926,236
1927,232
1928,215
1929,194
1930,229
1931,201
1932,161
1933,171
1934,186
1935,166
1936,163
1937,161
1938,167
1939,157
1940,171
1941,153
1942,159
1943,157
1944,165
1945,154
1946,160
1947,159
1948,198
1949,151
1950,148
1951,153
1952,142
1953,177
1954,217
1955,173
1956,178
1957,169
1958,134
1959,171
1960,138
1961,149
1962,132
1963,118
1964,103
1965,101
1966,88
1967,65
1968,69
1969,47
1970,71
1971,35
1972,49
1973,27
1974,34
1975,37
1976,35
1977,32
1978,32
1979,22
1980,19
1981,20
1982,26
1983,29
1984,20
1985,22
1986,30
1987,14
1988,14
1989,20
1990,17
1991,13
1992,12
1993,15
1994,15
1995,7
1996,9
1997,9
1998,5
1999,5
2000,9
2001,6
2002,9
2003,6
2004,0
2005,7
2006,0
2007,8
2008,0
2009,0
2010,0
2011,0
2012,0
