year,Violette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,6
1888,0
1889,6
1890,0
1891,11
1892,8
1893,5
1894,6
1895,8
1896,15
1897,8
1898,18
1899,18
1900,19
1901,17
1902,21
1903,19
1904,24
1905,33
1906,28
1907,32
1908,41
1909,38
1910,33
1911,34
1912,66
1913,62
1914,69
1915,87
1916,94
1917,121
1918,133
1919,91
1920,117
1921,87
1922,107
1923,87
1924,87
1925,53
1926,62
1927,66
1928,35
1929,29
1930,44
1931,36
1932,30
1933,25
1934,27
1935,24
1936,16
1937,12
1938,16
1939,17
1940,13
1941,12
1942,8
1943,9
1944,15
1945,9
1946,10
1947,8
1948,9
1949,0
1950,12
1951,8
1952,7
1953,7
1954,14
1955,8
1956,7
1957,6
1958,7
1959,8
1960,0
1961,0
1962,0
1963,7
1964,5
1965,5
1966,5
1967,0
1968,0
1969,0
1970,5
1971,6
1972,5
1973,5
1974,6
1975,9
1976,5
1977,5
1978,5
1979,0
1980,6
1981,17
1982,7
1983,6
1984,10
1985,8
1986,0
1987,6
1988,7
1989,7
1990,7
1991,8
1992,13
1993,13
1994,9
1995,8
1996,15
1997,14
1998,14
1999,13
2000,14
2001,20
2002,36
2003,20
2004,31
2005,51
2006,56
2007,64
2008,85
2009,102
2010,104
2011,104
2012,104
