year,Verena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,11
1891,7
1892,0
1893,8
1894,7
1895,12
1896,6
1897,8
1898,14
1899,11
1900,13
1901,10
1902,0
1903,6
1904,0
1905,7
1906,7
1907,10
1908,11
1909,9
1910,10
1911,6
1912,15
1913,23
1914,26
1915,23
1916,43
1917,34
1918,30
1919,34
1920,29
1921,35
1922,35
1923,29
1924,29
1925,29
1926,21
1927,25
1928,17
1929,15
1930,17
1931,21
1932,18
1933,13
1934,11
1935,10
1936,16
1937,9
1938,11
1939,9
1940,10
1941,14
1942,11
1943,9
1944,7
1945,5
1946,9
1947,8
1948,13
1949,13
1950,14
1951,14
1952,14
1953,19
1954,14
1955,8
1956,14
1957,6
1958,13
1959,10
1960,11
1961,11
1962,13
1963,11
1964,9
1965,12
1966,9
1967,16
1968,10
1969,11
1970,14
1971,15
1972,12
1973,9
1974,6
1975,9
1976,12
1977,11
1978,9
1979,9
1980,13
1981,5
1982,0
1983,9
1984,9
1985,7
1986,14
1987,7
1988,5
1989,10
1990,8
1991,13
1992,10
1993,8
1994,7
1995,0
1996,6
1997,14
1998,6
1999,10
2000,16
2001,12
2002,8
2003,17
2004,6
2005,22
2006,21
2007,16
2008,13
2009,19
2010,16
2011,21
2012,22
