year,Jacinta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,5
1913,7
1914,9
1915,7
1916,0
1917,6
1918,5
1919,5
1920,9
1921,0
1922,0
1923,0
1924,12
1925,11
1926,8
1927,9
1928,14
1929,13
1930,9
1931,6
1932,0
1933,5
1934,7
1935,5
1936,8
1937,0
1938,7
1939,6
1940,7
1941,7
1942,7
1943,5
1944,0
1945,11
1946,6
1947,10
1948,14
1949,22
1950,21
1951,20
1952,25
1953,28
1954,33
1955,17
1956,25
1957,26
1958,32
1959,35
1960,30
1961,23
1962,18
1963,16
1964,26
1965,21
1966,22
1967,23
1968,52
1969,62
1970,58
1971,58
1972,77
1973,67
1974,67
1975,76
1976,59
1977,72
1978,82
1979,92
1980,84
1981,99
1982,103
1983,75
1984,86
1985,74
1986,78
1987,58
1988,71
1989,68
1990,50
1991,65
1992,56
1993,40
1994,42
1995,50
1996,46
1997,38
1998,30
1999,28
2000,40
2001,42
2002,29
2003,39
2004,22
2005,34
2006,32
2007,23
2008,21
2009,23
2010,19
2011,22
2012,20
