year,Joye
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,11
1908,0
1909,5
1910,0
1911,6
1912,8
1913,7
1914,6
1915,12
1916,18
1917,18
1918,24
1919,25
1920,24
1921,31
1922,23
1923,33
1924,52
1925,41
1926,47
1927,62
1928,68
1929,51
1930,68
1931,66
1932,77
1933,66
1934,50
1935,65
1936,63
1937,55
1938,58
1939,60
1940,51
1941,68
1942,55
1943,59
1944,56
1945,61
1946,70
1947,57
1948,66
1949,41
1950,47
1951,52
1952,54
1953,51
1954,65
1955,67
1956,69
1957,69
1958,54
1959,65
1960,63
1961,56
1962,46
1963,40
1964,49
1965,40
1966,35
1967,32
1968,38
1969,35
1970,31
1971,31
1972,30
1973,41
1974,36
1975,38
1976,31
1977,22
1978,23
1979,32
1980,25
1981,20
1982,24
1983,16
1984,11
1985,12
1986,0
1987,9
1988,10
1989,11
1990,11
1991,9
1992,10
1993,14
1994,12
1995,7
1996,10
1997,8
1998,7
1999,8
2000,13
2001,8
2002,8
2003,9
2004,5
2005,8
2006,0
2007,0
2008,0
2009,5
2010,5
2011,7
2012,0
