year,Jessie (F),Jessie (M)
1880,0.003152,0.000764
1881,0.003430,0.000742
1882,0.003638,0.000867
1883,0.003840,0.000696
1884,0.003647,0.000727
1885,0.003953,0.000839
1886,0.003928,0.000709
1887,0.004091,0.000736
1888,0.004007,0.000848
1889,0.004139,0.000716
1890,0.004147,0.000800
1891,0.003903,0.000792
1892,0.003726,0.000751
1893,0.003739,0.000658
1894,0.003307,0.000753
1895,0.003703,0.000698
1896,0.003085,0.000641
1897,0.003433,0.000674
1898,0.003261,0.000700
1899,0.003187,0.000769
1900,0.003158,0.000884
1901,0.003227,0.000668
1902,0.003206,0.000835
1903,0.003153,0.000735
1904,0.002967,0.000776
1905,0.003102,0.000797
1906,0.002910,0.000754
1907,0.002823,0.000829
1908,0.002828,0.000726
1909,0.002584,0.000845
1910,0.002609,0.000874
1911,0.002406,0.000776
1912,0.002077,0.000700
1913,0.002177,0.000667
1914,0.002020,0.000670
1915,0.001831,0.000677
1916,0.001765,0.000656
1917,0.001727,0.000678
1918,0.001654,0.000650
1919,0.001673,0.000698
1920,0.001471,0.000703
1921,0.001381,0.000650
1922,0.001390,0.000695
1923,0.001301,0.000644
1924,0.001321,0.000613
1925,0.001265,0.000629
1926,0.001272,0.000645
1927,0.001232,0.000630
1928,0.001072,0.000627
1929,0.001030,0.000606
1930,0.000987,0.000598
1931,0.000917,0.000602
1932,0.000898,0.000607
1933,0.000904,0.000539
1934,0.000862,0.000525
1935,0.000775,0.000528
1936,0.000764,0.000487
1937,0.000728,0.000489
1938,0.000667,0.000439
1939,0.000633,0.000480
1940,0.000580,0.000443
1941,0.000556,0.000426
1942,0.000509,0.000367
1943,0.000465,0.000390
1944,0.000452,0.000384
1945,0.000417,0.000355
1946,0.000367,0.000319
1947,0.000321,0.000292
1948,0.000310,0.000317
1949,0.000296,0.000294
1950,0.000267,0.000291
1951,0.000255,0.000268
1952,0.000231,0.000273
1953,0.000234,0.000277
1954,0.000191,0.000250
1955,0.000186,0.000240
1956,0.000166,0.000255
1957,0.000151,0.000254
1958,0.000142,0.000246
1959,0.000141,0.000231
1960,0.000123,0.000225
1961,0.000113,0.000229
1962,0.000110,0.000232
1963,0.000101,0.000229
1964,0.000106,0.000233
1965,0.000131,0.000241
1966,0.000137,0.000260
1967,0.000110,0.000235
1968,0.000095,0.000212
1969,0.000093,0.000222
1970,0.000093,0.000202
1971,0.000105,0.000221
1972,0.000101,0.000240
1973,0.000117,0.000250
1974,0.000118,0.000247
1975,0.000130,0.000256
1976,0.000148,0.000271
1977,0.000153,0.000294
1978,0.000203,0.000282
1979,0.000216,0.000307
1980,0.000236,0.000318
1981,0.000350,0.000362
1982,0.000326,0.000379
1983,0.000256,0.000335
1984,0.000284,0.000314
1985,0.000311,0.000317
1986,0.000359,0.000314
1987,0.000339,0.000323
1988,0.000314,0.000293
1989,0.000298,0.000295
1990,0.000283,0.000318
1991,0.000287,0.000302
1992,0.000285,0.000273
1993,0.000294,0.000287
1994,0.000338,0.000265
1995,0.000311,0.000247
1996,0.000269,0.000240
1997,0.000233,0.000208
1998,0.000202,0.000175
1999,0.000200,0.000157
2000,0.000190,0.000141
2001,0.000163,0.000158
2002,0.000181,0.000175
2003,0.000163,0.000165
2004,0.000159,0.000149
2005,0.000132,0.000154
2006,0.000134,0.000138
2007,0.000124,0.000133
2008,0.000125,0.000124
2009,0.000111,0.000120
2010,0.000113,0.000110
2011,0.000112,0.000091
2012,0.000122,0.000093
2013,0.000132,0.000089
2014,0.000137,0.000076
2015,0.000127,0.000063
2016,0.000126,0.000067
2017,0.000126,0.000060
2018,0.000128,0.000050
2019,0.000120,0.000056
2020,0.000116,0.000046
