year,Josh
1880,31
1881,22
1882,14
1883,27
1884,27
1885,23
1886,29
1887,15
1888,24
1889,22
1890,24
1891,19
1892,22
1893,16
1894,18
1895,27
1896,23
1897,21
1898,22
1899,17
1900,25
1901,18
1902,17
1903,21
1904,18
1905,17
1906,13
1907,19
1908,26
1909,21
1910,23
1911,30
1912,39
1913,37
1914,39
1915,40
1916,55
1917,42
1918,49
1919,41
1920,45
1921,36
1922,50
1923,49
1924,47
1925,45
1926,46
1927,41
1928,44
1929,35
1930,28
1931,30
1932,40
1933,30
1934,39
1935,34
1936,43
1937,39
1938,33
1939,32
1940,31
1941,31
1942,31
1943,25
1944,35
1945,34
1946,43
1947,40
1948,45
1949,47
1950,39
1951,41
1952,55
1953,57
1954,51
1955,50
1956,55
1957,51
1958,69
1959,127
1960,129
1961,131
1962,103
1963,114
1964,95
1965,105
1966,102
1967,105
1968,134
1969,193
1970,248
1971,326
1972,359
1973,402
1974,495
1975,456
1976,389
1977,384
1978,428
1979,531
1980,460
1981,347
1982,296
1983,300
1984,261
1985,249
1986,220
1987,233
1988,238
1989,214
1990,211
1991,181
1992,180
1993,184
1994,169
1995,183
1996,165
1997,189
1998,166
1999,194
2000,195
2001,246
2002,274
2003,273
2004,308
2005,265
2006,301
2007,316
2008,268
2009,205
2010,177
2011,177
2012,166
