year,Judie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,7
1887,8
1888,0
1889,0
1890,6
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,8
1901,8
1902,0
1903,8
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,8
1911,0
1912,6
1913,6
1914,13
1915,5
1916,8
1917,9
1918,20
1919,9
1920,14
1921,11
1922,12
1923,0
1924,5
1925,15
1926,11
1927,12
1928,7
1929,10
1930,5
1931,9
1932,12
1933,14
1934,26
1935,32
1936,59
1937,79
1938,140
1939,211
1940,287
1941,318
1942,366
1943,378
1944,324
1945,300
1946,305
1947,277
1948,198
1949,121
1950,119
1951,100
1952,97
1953,97
1954,65
1955,67
1956,75
1957,100
1958,86
1959,81
1960,95
1961,89
1962,86
1963,72
1964,63
1965,45
1966,33
1967,28
1968,31
1969,20
1970,29
1971,18
1972,25
1973,11
1974,12
1975,11
1976,10
1977,8
1978,9
1979,13
1980,7
1981,11
1982,11
1983,9
1984,7
1985,7
1986,9
1987,8
1988,8
1989,6
1990,8
1991,0
1992,5
1993,7
1994,6
1995,5
1996,7
1997,6
1998,5
1999,0
2000,9
2001,0
2002,0
2003,6
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
