year,Jovita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,8
1905,0
1906,6
1907,9
1908,8
1909,9
1910,8
1911,7
1912,9
1913,7
1914,12
1915,21
1916,16
1917,18
1918,23
1919,29
1920,36
1921,27
1922,30
1923,39
1924,54
1925,33
1926,52
1927,57
1928,56
1929,57
1930,63
1931,39
1932,37
1933,40
1934,41
1935,50
1936,40
1937,38
1938,38
1939,39
1940,30
1941,50
1942,23
1943,51
1944,24
1945,31
1946,23
1947,40
1948,18
1949,39
1950,28
1951,33
1952,43
1953,52
1954,53
1955,49
1956,42
1957,47
1958,55
1959,35
1960,34
1961,43
1962,28
1963,32
1964,33
1965,32
1966,27
1967,20
1968,27
1969,28
1970,36
1971,34
1972,32
1973,35
1974,33
1975,43
1976,31
1977,47
1978,41
1979,41
1980,37
1981,45
1982,38
1983,39
1984,45
1985,31
1986,25
1987,33
1988,27
1989,23
1990,31
1991,19
1992,21
1993,24
1994,28
1995,32
1996,15
1997,17
1998,16
1999,17
2000,19
2001,17
2002,13
2003,17
2004,15
2005,9
2006,9
2007,13
2008,7
2009,9
2010,10
2011,0
2012,12
