year,Jame
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,6
1904,0
1905,0
1906,0
1907,5
1908,5
1909,0
1910,5
1911,0
1912,13
1913,10
1914,13
1915,13
1916,20
1917,15
1918,15
1919,17
1920,22
1921,9
1922,25
1923,21
1924,25
1925,24
1926,41
1927,35
1928,36
1929,35
1930,35
1931,35
1932,33
1933,44
1934,41
1935,37
1936,33
1937,38
1938,48
1939,36
1940,59
1941,41
1942,54
1943,61
1944,41
1945,43
1946,39
1947,44
1948,57
1949,46
1950,51
1951,73
1952,58
1953,57
1954,49
1955,68
1956,57
1957,93
1958,80
1959,66
1960,79
1961,78
1962,80
1963,74
1964,76
1965,46
1966,76
1967,57
1968,56
1969,69
1970,75
1971,65
1972,65
1973,40
1974,44
1975,50
1976,50
1977,49
1978,41
1979,34
1980,50
1981,33
1982,38
1983,41
1984,35
1985,41
1986,43
1987,46
1988,21
1989,33
1990,24
1991,16
1992,21
1993,20
1994,19
1995,12
1996,23
1997,18
1998,13
1999,20
2000,13
2001,6
2002,21
2003,7
2004,0
2005,7
2006,14
2007,10
2008,8
2009,8
2010,7
2011,0
2012,5
