year,Jonnie
1880,0
1881,6
1882,0
1883,0
1884,7
1885,0
1886,5
1887,0
1888,0
1889,5
1890,8
1891,15
1892,12
1893,5
1894,21
1895,16
1896,20
1897,18
1898,13
1899,15
1900,31
1901,16
1902,21
1903,25
1904,28
1905,20
1906,15
1907,31
1908,30
1909,31
1910,43
1911,45
1912,56
1913,61
1914,62
1915,85
1916,95
1917,102
1918,135
1919,127
1920,146
1921,120
1922,131
1923,132
1924,128
1925,106
1926,136
1927,142
1928,150
1929,125
1930,126
1931,109
1932,100
1933,105
1934,128
1935,126
1936,120
1937,94
1938,116
1939,135
1940,119
1941,129
1942,135
1943,153
1944,167
1945,145
1946,170
1947,186
1948,157
1949,146
1950,163
1951,138
1952,138
1953,109
1954,120
1955,126
1956,134
1957,116
1958,92
1959,111
1960,110
1961,85
1962,100
1963,80
1964,85
1965,68
1966,71
1967,67
1968,70
1969,70
1970,63
1971,71
1972,47
1973,46
1974,55
1975,47
1976,50
1977,47
1978,35
1979,48
1980,47
1981,48
1982,35
1983,44
1984,30
1985,31
1986,34
1987,46
1988,34
1989,39
1990,46
1991,38
1992,48
1993,39
1994,47
1995,57
1996,36
1997,29
1998,34
1999,26
2000,22
2001,19
2002,25
2003,33
2004,27
2005,18
2006,16
2007,21
2008,13
2009,22
2010,28
2011,6
2012,22
