year,Juliana
1880,0
1881,5
1882,0
1883,0
1884,0
1885,5
1886,9
1887,8
1888,6
1889,12
1890,9
1891,8
1892,9
1893,7
1894,7
1895,9
1896,12
1897,0
1898,5
1899,8
1900,9
1901,11
1902,6
1903,9
1904,14
1905,9
1906,15
1907,12
1908,19
1909,27
1910,15
1911,21
1912,39
1913,26
1914,54
1915,46
1916,75
1917,52
1918,60
1919,40
1920,60
1921,66
1922,59
1923,61
1924,65
1925,64
1926,64
1927,51
1928,63
1929,57
1930,51
1931,42
1932,57
1933,58
1934,48
1935,50
1936,46
1937,60
1938,87
1939,72
1940,98
1941,93
1942,95
1943,86
1944,88
1945,61
1946,75
1947,97
1948,137
1949,127
1950,105
1951,129
1952,144
1953,145
1954,150
1955,166
1956,192
1957,187
1958,153
1959,158
1960,179
1961,218
1962,254
1963,199
1964,219
1965,214
1966,179
1967,163
1968,149
1969,176
1970,175
1971,194
1972,168
1973,148
1974,129
1975,156
1976,158
1977,164
1978,165
1979,187
1980,212
1981,279
1982,434
1983,338
1984,303
1985,526
1986,435
1987,456
1988,451
1989,570
1990,595
1991,640
1992,573
1993,572
1994,642
1995,711
1996,823
1997,941
1998,1037
1999,1186
2000,1320
2001,2073
2002,1926
2003,2129
2004,2030
2005,1952
2006,2183
2007,2223
2008,2149
2009,2068
2010,2124
2011,2122
2012,2218
