year,Jetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,5
1889,0
1890,9
1891,0
1892,0
1893,5
1894,7
1895,0
1896,0
1897,7
1898,7
1899,10
1900,9
1901,0
1902,7
1903,7
1904,10
1905,5
1906,0
1907,0
1908,10
1909,0
1910,5
1911,8
1912,7
1913,12
1914,9
1915,16
1916,18
1917,8
1918,17
1919,20
1920,16
1921,12
1922,10
1923,16
1924,27
1925,15
1926,34
1927,36
1928,29
1929,24
1930,28
1931,22
1932,28
1933,22
1934,19
1935,24
1936,14
1937,19
1938,15
1939,16
1940,10
1941,14
1942,19
1943,11
1944,10
1945,17
1946,19
1947,17
1948,18
1949,20
1950,25
1951,18
1952,23
1953,24
1954,25
1955,16
1956,18
1957,17
1958,19
1959,17
1960,18
1961,19
1962,16
1963,22
1964,23
1965,10
1966,8
1967,7
1968,10
1969,11
1970,9
1971,10
1972,0
1973,5
1974,7
1975,6
1976,7
1977,0
1978,7
1979,9
1980,10
1981,6
1982,12
1983,9
1984,12
1985,12
1986,21
1987,16
1988,25
1989,17
1990,11
1991,16
1992,19
1993,13
1994,16
1995,11
1996,8
1997,7
1998,9
1999,16
2000,22
2001,35
2002,40
2003,49
2004,47
2005,35
2006,44
2007,40
2008,39
2009,49
2010,43
2011,40
2012,31
