year,Joachim
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,8
1913,5
1914,0
1915,9
1916,5
1917,0
1918,0
1919,6
1920,0
1921,0
1922,7
1923,5
1924,8
1925,6
1926,5
1927,8
1928,19
1929,5
1930,6
1931,7
1932,0
1933,6
1934,7
1935,0
1936,7
1937,0
1938,0
1939,6
1940,0
1941,6
1942,5
1943,8
1944,5
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,5
1952,7
1953,7
1954,10
1955,8
1956,8
1957,7
1958,8
1959,11
1960,13
1961,13
1962,5
1963,8
1964,11
1965,11
1966,11
1967,7
1968,12
1969,12
1970,14
1971,9
1972,11
1973,15
1974,7
1975,12
1976,14
1977,13
1978,15
1979,10
1980,12
1981,11
1982,18
1983,11
1984,0
1985,8
1986,9
1987,14
1988,5
1989,18
1990,5
1991,18
1992,8
1993,8
1994,17
1995,14
1996,13
1997,9
1998,8
1999,6
2000,10
2001,17
2002,10
2003,12
2004,12
2005,16
2006,33
2007,14
2008,27
2009,23
2010,19
2011,22
2012,19
