year,Jeannette
1880,34
1881,43
1882,60
1883,53
1884,63
1885,81
1886,75
1887,95
1888,109
1889,92
1890,99
1891,98
1892,122
1893,139
1894,133
1895,150
1896,135
1897,144
1898,144
1899,125
1900,170
1901,167
1902,174
1903,161
1904,212
1905,205
1906,216
1907,235
1908,260
1909,311
1910,347
1911,373
1912,487
1913,570
1914,699
1915,903
1916,1082
1917,1113
1918,1077
1919,1068
1920,1059
1921,1093
1922,1028
1923,1081
1924,1032
1925,1050
1926,919
1927,911
1928,888
1929,930
1930,993
1931,974
1932,1086
1933,860
1934,919
1935,955
1936,959
1937,1012
1938,1044
1939,1019
1940,1047
1941,948
1942,1061
1943,1037
1944,931
1945,787
1946,966
1947,994
1948,959
1949,916
1950,881
1951,856
1952,899
1953,911
1954,851
1955,876
1956,903
1957,862
1958,885
1959,938
1960,937
1961,879
1962,913
1963,799
1964,731
1965,696
1966,644
1967,653
1968,630
1969,687
1970,715
1971,716
1972,574
1973,538
1974,542
1975,428
1976,406
1977,460
1978,407
1979,410
1980,474
1981,415
1982,415
1983,327
1984,282
1985,368
1986,425
1987,343
1988,346
1989,311
1990,266
1991,308
1992,215
1993,193
1994,150
1995,146
1996,103
1997,95
1998,92
1999,82
2000,62
2001,70
2002,67
2003,57
2004,55
2005,61
2006,52
2007,48
2008,36
2009,39
2010,42
2011,40
2012,48
