year,Josef
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,7
1902,0
1903,0
1904,0
1905,0
1906,7
1907,7
1908,5
1909,11
1910,10
1911,8
1912,12
1913,18
1914,13
1915,24
1916,28
1917,22
1918,14
1919,24
1920,17
1921,7
1922,14
1923,12
1924,21
1925,19
1926,20
1927,17
1928,20
1929,15
1930,14
1931,13
1932,9
1933,9
1934,16
1935,14
1936,15
1937,12
1938,20
1939,13
1940,14
1941,11
1942,21
1943,19
1944,13
1945,20
1946,11
1947,21
1948,19
1949,23
1950,18
1951,21
1952,28
1953,26
1954,32
1955,38
1956,41
1957,48
1958,45
1959,36
1960,52
1961,52
1962,41
1963,54
1964,58
1965,67
1966,53
1967,41
1968,73
1969,65
1970,93
1971,89
1972,80
1973,78
1974,80
1975,107
1976,96
1977,118
1978,122
1979,161
1980,150
1981,131
1982,148
1983,130
1984,170
1985,171
1986,159
1987,165
1988,176
1989,156
1990,165
1991,154
1992,163
1993,170
1994,179
1995,168
1996,175
1997,183
1998,211
1999,220
2000,198
2001,211
2002,195
2003,188
2004,185
2005,218
2006,191
2007,163
2008,157
2009,125
2010,128
2011,135
2012,94
