year,Jeremiah
1880,37
1881,34
1882,33
1883,37
1884,38
1885,40
1886,40
1887,38
1888,34
1889,42
1890,35
1891,32
1892,33
1893,29
1894,28
1895,28
1896,43
1897,31
1898,30
1899,24
1900,43
1901,21
1902,29
1903,24
1904,35
1905,27
1906,22
1907,22
1908,23
1909,25
1910,35
1911,37
1912,57
1913,79
1914,83
1915,76
1916,109
1917,104
1918,105
1919,121
1920,129
1921,129
1922,128
1923,125
1924,125
1925,127
1926,115
1927,137
1928,112
1929,115
1930,126
1931,114
1932,122
1933,111
1934,122
1935,112
1936,108
1937,109
1938,110
1939,104
1940,119
1941,121
1942,130
1943,121
1944,100
1945,118
1946,117
1947,130
1948,140
1949,163
1950,163
1951,150
1952,176
1953,142
1954,171
1955,166
1956,162
1957,185
1958,150
1959,155
1960,150
1961,128
1962,128
1963,139
1964,122
1965,102
1966,129
1967,128
1968,130
1969,159
1970,217
1971,322
1972,343
1973,771
1974,1306
1975,1668
1976,2886
1977,4187
1978,3466
1979,3749
1980,4125
1981,3927
1982,3356
1983,2874
1984,2795
1985,2554
1986,2396
1987,2151
1988,2206
1989,2145
1990,2010
1991,2103
1992,1946
1993,1917
1994,2089
1995,2064
1996,2111
1997,2932
1998,3233
1999,3314
2000,3647
2001,4231
2002,4721
2003,4857
2004,5409
2005,5847
2006,6543
2007,6621
2008,6581
2009,7220
2010,7722
2011,7583
2012,7443
