year,Jacques
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,7
1896,0
1897,0
1898,7
1899,0
1900,8
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,0
1909,0
1910,0
1911,10
1912,15
1913,12
1914,20
1915,26
1916,22
1917,23
1918,38
1919,38
1920,46
1921,43
1922,44
1923,46
1924,52
1925,42
1926,33
1927,42
1928,37
1929,33
1930,37
1931,38
1932,28
1933,34
1934,31
1935,29
1936,21
1937,30
1938,31
1939,28
1940,40
1941,20
1942,33
1943,31
1944,34
1945,37
1946,44
1947,65
1948,52
1949,55
1950,57
1951,73
1952,62
1953,78
1954,86
1955,88
1956,70
1957,97
1958,78
1959,104
1960,107
1961,124
1962,107
1963,140
1964,113
1965,126
1966,108
1967,102
1968,134
1969,176
1970,161
1971,162
1972,156
1973,158
1974,123
1975,122
1976,114
1977,113
1978,114
1979,136
1980,153
1981,147
1982,127
1983,114
1984,142
1985,152
1986,125
1987,153
1988,173
1989,149
1990,180
1991,168
1992,147
1993,158
1994,135
1995,155
1996,144
1997,162
1998,162
1999,123
2000,129
2001,136
2002,124
2003,110
2004,98
2005,103
2006,102
2007,90
2008,105
2009,89
2010,92
2011,86
2012,72
