year,Juliann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,9
1915,7
1916,9
1917,13
1918,10
1919,12
1920,0
1921,12
1922,15
1923,13
1924,13
1925,14
1926,14
1927,15
1928,7
1929,18
1930,18
1931,24
1932,22
1933,18
1934,36
1935,27
1936,41
1937,44
1938,44
1939,40
1940,53
1941,72
1942,75
1943,58
1944,57
1945,42
1946,72
1947,68
1948,94
1949,98
1950,93
1951,90
1952,105
1953,102
1954,102
1955,121
1956,125
1957,123
1958,131
1959,120
1960,134
1961,163
1962,152
1963,143
1964,142
1965,144
1966,130
1967,124
1968,127
1969,120
1970,155
1971,103
1972,82
1973,62
1974,76
1975,57
1976,44
1977,49
1978,61
1979,61
1980,66
1981,63
1982,75
1983,84
1984,85
1985,118
1986,87
1987,114
1988,109
1989,106
1990,94
1991,107
1992,105
1993,68
1994,86
1995,66
1996,73
1997,92
1998,123
1999,100
2000,113
2001,105
2002,93
2003,94
2004,61
2005,54
2006,70
2007,72
2008,62
2009,74
2010,48
2011,45
2012,52
