year,Junie
1880,5
1881,5
1882,5
1883,0
1884,0
1885,0
1886,0
1887,7
1888,10
1889,12
1890,13
1891,10
1892,9
1893,6
1894,8
1895,6
1896,0
1897,8
1898,7
1899,8
1900,10
1901,10
1902,12
1903,6
1904,0
1905,9
1906,8
1907,5
1908,10
1909,6
1910,0
1911,0
1912,7
1913,16
1914,11
1915,11
1916,29
1917,29
1918,16
1919,29
1920,27
1921,23
1922,33
1923,27
1924,31
1925,27
1926,24
1927,25
1928,28
1929,32
1930,20
1931,23
1932,20
1933,24
1934,13
1935,10
1936,21
1937,13
1938,20
1939,8
1940,15
1941,10
1942,12
1943,16
1944,26
1945,11
1946,19
1947,20
1948,19
1949,12
1950,11
1951,13
1952,18
1953,8
1954,16
1955,24
1956,25
1957,13
1958,18
1959,18
1960,10
1961,9
1962,8
1963,7
1964,14
1965,0
1966,5
1967,6
1968,0
1969,0
1970,6
1971,0
1972,0
1973,7
1974,8
1975,0
1976,5
1977,7
1978,8
1979,5
1980,8
1981,8
1982,8
1983,10
1984,5
1985,9
1986,8
1987,0
1988,0
1989,7
1990,6
1991,0
1992,0
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,6
2000,0
2001,5
2002,0
2003,0
2004,6
2005,7
2006,0
2007,13
2008,7
2009,9
2010,5
2011,12
2012,11
