year,Jane (F),Jane (M)
1880,0.001067,0.000000
1881,0.001121,0.000000
1882,0.001147,0.000000
1883,0.001139,0.000000
1884,0.001212,0.000000
1885,0.001370,0.000000
1886,0.001198,0.000000
1887,0.001164,0.000000
1888,0.001489,0.000000
1889,0.001294,0.000000
1890,0.001234,0.000000
1891,0.001322,0.000000
1892,0.001184,0.000000
1893,0.001088,0.000000
1894,0.001151,0.000000
1895,0.001122,0.000000
1896,0.001155,0.000000
1897,0.001141,0.000000
1898,0.001064,0.000000
1899,0.001126,0.000000
1900,0.001099,0.000000
1901,0.000940,0.000000
1902,0.001003,0.000000
1903,0.000999,0.000000
1904,0.000979,0.000000
1905,0.000927,0.000000
1906,0.001022,0.000000
1907,0.001130,0.000011
1908,0.001087,0.000010
1909,0.001226,0.000000
1910,0.001200,0.000010
1911,0.001454,0.000000
1912,0.001407,0.000000
1913,0.001547,0.000006
1914,0.001652,0.000000
1915,0.001782,0.000008
1916,0.001978,0.000003
1917,0.002122,0.000006
1918,0.002179,0.000005
1919,0.002145,0.000008
1920,0.002234,0.000004
1921,0.002222,0.000005
1922,0.002098,0.000008
1923,0.002136,0.000005
1924,0.002144,0.000007
1925,0.002091,0.000010
1926,0.002022,0.000010
1927,0.002026,0.000012
1928,0.001950,0.000009
1929,0.001986,0.000009
1930,0.002058,0.000009
1931,0.002156,0.000010
1932,0.002059,0.000009
1933,0.002190,0.000009
1934,0.002099,0.000009
1935,0.002223,0.000009
1936,0.002272,0.000013
1937,0.002206,0.000010
1938,0.002165,0.000012
1939,0.002165,0.000011
1940,0.002211,0.000013
1941,0.002089,0.000010
1942,0.002090,0.000009
1943,0.002137,0.000007
1944,0.002441,0.000007
1945,0.002880,0.000006
1946,0.002807,0.000011
1947,0.002760,0.000005
1948,0.002544,0.000006
1949,0.002503,0.000005
1950,0.002559,0.000006
1951,0.002426,0.000005
1952,0.002455,0.000004
1953,0.002312,0.000005
1954,0.002099,0.000004
1955,0.002077,0.000004
1956,0.002001,0.000003
1957,0.001854,0.000004
1958,0.001741,0.000005
1959,0.001653,0.000004
1960,0.001585,0.000005
1961,0.001536,0.000005
1962,0.001515,0.000003
1963,0.001456,0.000003
1964,0.001175,0.000002
1965,0.001084,0.000004
1966,0.000925,0.000002
1967,0.000803,0.000003
1968,0.000650,0.000002
1969,0.000541,0.000001
1970,0.000443,0.000000
1971,0.000380,0.000002
1972,0.000369,0.000002
1973,0.000318,0.000002
1974,0.000273,0.000003
1975,0.000259,0.000002
1976,0.000230,0.000002
1977,0.000234,0.000003
1978,0.000220,0.000000
1979,0.000216,0.000002
1980,0.000225,0.000000
1981,0.000221,0.000002
1982,0.000240,0.000001
1983,0.000226,0.000002
1984,0.000208,0.000002
1985,0.000199,0.000002
1986,0.000188,0.000003
1987,0.000185,0.000002
1988,0.000194,0.000002
1989,0.000203,0.000002
1990,0.000195,0.000002
1991,0.000182,0.000002
1992,0.000170,0.000001
1993,0.000182,0.000000
1994,0.000190,0.000000
1995,0.000169,0.000000
1996,0.000175,0.000000
1997,0.000179,0.000000
1998,0.000174,0.000000
1999,0.000167,0.000000
2000,0.000171,0.000000
2001,0.000179,0.000000
2002,0.000186,0.000000
2003,0.000185,0.000001
2004,0.000172,0.000000
2005,0.000169,0.000000
2006,0.000168,0.000000
2007,0.000194,0.000000
2008,0.000211,0.000000
2009,0.000218,0.000000
2010,0.000226,0.000000
2011,0.000238,0.000000
2012,0.000255,0.000000
