year,Junious
1880,6
1881,0
1882,9
1883,5
1884,6
1885,7
1886,6
1887,8
1888,0
1889,0
1890,6
1891,5
1892,5
1893,0
1894,0
1895,8
1896,6
1897,0
1898,5
1899,5
1900,12
1901,0
1902,20
1903,7
1904,8
1905,5
1906,7
1907,8
1908,7
1909,11
1910,9
1911,19
1912,16
1913,22
1914,20
1915,38
1916,53
1917,33
1918,41
1919,51
1920,42
1921,50
1922,49
1923,48
1924,47
1925,43
1926,36
1927,41
1928,46
1929,32
1930,37
1931,19
1932,28
1933,27
1934,33
1935,19
1936,10
1937,30
1938,12
1939,30
1940,16
1941,13
1942,23
1943,11
1944,24
1945,12
1946,16
1947,12
1948,20
1949,15
1950,16
1951,19
1952,17
1953,20
1954,15
1955,14
1956,18
1957,12
1958,10
1959,11
1960,12
1961,13
1962,7
1963,6
1964,7
1965,5
1966,6
1967,6
1968,9
1969,0
1970,11
1971,13
1972,5
1973,0
1974,10
1975,9
1976,9
1977,6
1978,0
1979,0
1980,10
1981,0
1982,11
1983,9
1984,7
1985,5
1986,7
1987,6
1988,12
1989,8
1990,0
1991,0
1992,0
1993,7
1994,0
1995,6
1996,0
1997,0
1998,0
1999,5
2000,7
2001,0
2002,8
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
