year,Joann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,0
1893,5
1894,5
1895,0
1896,0
1897,0
1898,0
1899,6
1900,10
1901,6
1902,11
1903,10
1904,8
1905,5
1906,13
1907,9
1908,16
1909,15
1910,20
1911,28
1912,23
1913,31
1914,58
1915,65
1916,72
1917,90
1918,113
1919,93
1920,144
1921,152
1922,206
1923,257
1924,386
1925,470
1926,627
1927,783
1928,1003
1929,1556
1930,2137
1931,2664
1932,3130
1933,3220
1934,4167
1935,3928
1936,3895
1937,3953
1938,3721
1939,4010
1940,3812
1941,4291
1942,4515
1943,4476
1944,3991
1945,3477
1946,3957
1947,4283
1948,3812
1949,3525
1950,3606
1951,3426
1952,3267
1953,3175
1954,3067
1955,2933
1956,3004
1957,3063
1958,3705
1959,3464
1960,3429
1961,3354
1962,3115
1963,2668
1964,2738
1965,2407
1966,2127
1967,1794
1968,1691
1969,1643
1970,1567
1971,1388
1972,1110
1973,1040
1974,1058
1975,943
1976,801
1977,726
1978,592
1979,635
1980,600
1981,506
1982,515
1983,452
1984,458
1985,399
1986,369
1987,355
1988,331
1989,310
1990,312
1991,280
1992,228
1993,219
1994,197
1995,184
1996,170
1997,179
1998,171
1999,132
2000,146
2001,131
2002,122
2003,133
2004,125
2005,103
2006,102
2007,102
2008,93
2009,97
2010,73
2011,73
2012,61
