year,Juliette
1880,0
1881,9
1882,9
1883,5
1884,10
1885,9
1886,10
1887,8
1888,8
1889,7
1890,14
1891,17
1892,11
1893,11
1894,14
1895,24
1896,14
1897,15
1898,29
1899,28
1900,20
1901,24
1902,25
1903,23
1904,34
1905,30
1906,43
1907,38
1908,39
1909,42
1910,48
1911,59
1912,93
1913,107
1914,114
1915,143
1916,135
1917,156
1918,164
1919,157
1920,185
1921,179
1922,141
1923,151
1924,162
1925,140
1926,137
1927,142
1928,143
1929,108
1930,93
1931,110
1932,114
1933,102
1934,115
1935,70
1936,94
1937,98
1938,96
1939,91
1940,88
1941,89
1942,93
1943,90
1944,75
1945,83
1946,104
1947,123
1948,101
1949,113
1950,97
1951,106
1952,100
1953,94
1954,101
1955,105
1956,96
1957,112
1958,124
1959,114
1960,119
1961,146
1962,122
1963,136
1964,127
1965,110
1966,97
1967,100
1968,98
1969,138
1970,181
1971,168
1972,124
1973,108
1974,100
1975,98
1976,103
1977,102
1978,94
1979,105
1980,110
1981,110
1982,104
1983,104
1984,112
1985,114
1986,110
1987,112
1988,117
1989,114
1990,112
1991,136
1992,138
1993,129
1994,176
1995,196
1996,222
1997,320
1998,345
1999,368
2000,373
2001,428
2002,435
2003,373
2004,406
2005,443
2006,443
2007,508
2008,557
2009,717
2010,860
2011,850
2012,1032
