year,Jennette
1880,6
1881,0
1882,0
1883,0
1884,0
1885,11
1886,6
1887,6
1888,6
1889,6
1890,8
1891,0
1892,16
1893,6
1894,11
1895,15
1896,12
1897,9
1898,8
1899,0
1900,8
1901,8
1902,8
1903,15
1904,6
1905,7
1906,0
1907,8
1908,6
1909,12
1910,13
1911,12
1912,17
1913,18
1914,22
1915,24
1916,20
1917,34
1918,32
1919,32
1920,31
1921,27
1922,22
1923,14
1924,13
1925,22
1926,33
1927,26
1928,23
1929,24
1930,18
1931,22
1932,27
1933,23
1934,26
1935,27
1936,23
1937,17
1938,41
1939,37
1940,24
1941,26
1942,35
1943,23
1944,42
1945,35
1946,48
1947,43
1948,39
1949,35
1950,42
1951,40
1952,28
1953,50
1954,42
1955,35
1956,43
1957,39
1958,32
1959,35
1960,39
1961,45
1962,42
1963,46
1964,37
1965,46
1966,50
1967,53
1968,38
1969,60
1970,61
1971,60
1972,65
1973,54
1974,63
1975,66
1976,72
1977,53
1978,67
1979,69
1980,66
1981,80
1982,70
1983,58
1984,55
1985,53
1986,45
1987,42
1988,20
1989,24
1990,31
1991,27
1992,33
1993,11
1994,12
1995,17
1996,12
1997,13
1998,6
1999,15
2000,8
2001,11
2002,9
2003,5
2004,8
2005,7
2006,0
2007,8
2008,5
2009,0
2010,5
2011,8
2012,0
