year,Jennetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,5
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,6
1913,0
1914,0
1915,9
1916,8
1917,7
1918,12
1919,7
1920,7
1921,10
1922,12
1923,0
1924,10
1925,0
1926,0
1927,7
1928,5
1929,7
1930,8
1931,0
1932,10
1933,7
1934,0
1935,0
1936,7
1937,8
1938,8
1939,7
1940,13
1941,10
1942,7
1943,11
1944,5
1945,0
1946,9
1947,9
1948,11
1949,10
1950,5
1951,8
1952,5
1953,13
1954,11
1955,6
1956,6
1957,6
1958,0
1959,8
1960,8
1961,8
1962,6
1963,6
1964,9
1965,8
1966,0
1967,8
1968,8
1969,5
1970,6
1971,11
1972,8
1973,9
1974,8
1975,0
1976,9
1977,8
1978,8
1979,9
1980,11
1981,6
1982,7
1983,5
1984,0
1985,0
1986,0
1987,13
1988,8
1989,9
1990,0
1991,6
1992,7
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
