year,Jocelyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,5
1912,8
1913,9
1914,10
1915,11
1916,24
1917,27
1918,20
1919,23
1920,25
1921,33
1922,24
1923,46
1924,44
1925,48
1926,45
1927,63
1928,64
1929,80
1930,67
1931,85
1932,62
1933,63
1934,75
1935,51
1936,72
1937,50
1938,44
1939,73
1940,56
1941,60
1942,62
1943,73
1944,47
1945,72
1946,69
1947,72
1948,79
1949,97
1950,137
1951,274
1952,257
1953,308
1954,303
1955,383
1956,402
1957,352
1958,306
1959,241
1960,228
1961,223
1962,222
1963,266
1964,262
1965,292
1966,298
1967,260
1968,324
1969,392
1970,414
1971,396
1972,351
1973,355
1974,389
1975,406
1976,423
1977,945
1978,835
1979,732
1980,766
1981,816
1982,751
1983,727
1984,876
1985,880
1986,858
1987,986
1988,1116
1989,1097
1990,1325
1991,1365
1992,1858
1993,1948
1994,2069
1995,2204
1996,2518
1997,2629
1998,2594
1999,2488
2000,2754
2001,2833
2002,3527
2003,3722
2004,3758
2005,3694
2006,4373
2007,5300
2008,4373
2009,4118
2010,3981
2011,3726
2012,3226
