year,Johannah
1880,5
1881,0
1882,8
1883,0
1884,11
1885,6
1886,0
1887,0
1888,9
1889,0
1890,8
1891,0
1892,8
1893,10
1894,0
1895,8
1896,6
1897,5
1898,6
1899,0
1900,5
1901,0
1902,0
1903,9
1904,0
1905,0
1906,0
1907,0
1908,5
1909,5
1910,0
1911,0
1912,0
1913,7
1914,10
1915,10
1916,12
1917,9
1918,6
1919,6
1920,5
1921,7
1922,8
1923,0
1924,7
1925,8
1926,8
1927,7
1928,12
1929,0
1930,7
1931,6
1932,0
1933,5
1934,10
1935,5
1936,0
1937,10
1938,9
1939,11
1940,7
1941,15
1942,9
1943,11
1944,10
1945,12
1946,15
1947,12
1948,14
1949,10
1950,11
1951,8
1952,7
1953,14
1954,9
1955,12
1956,13
1957,10
1958,12
1959,11
1960,10
1961,17
1962,10
1963,13
1964,10
1965,10
1966,0
1967,13
1968,10
1969,17
1970,15
1971,8
1972,15
1973,22
1974,22
1975,23
1976,22
1977,24
1978,26
1979,28
1980,24
1981,27
1982,31
1983,38
1984,32
1985,39
1986,53
1987,30
1988,53
1989,47
1990,45
1991,43
1992,55
1993,58
1994,66
1995,55
1996,56
1997,60
1998,55
1999,74
2000,51
2001,53
2002,58
2003,39
2004,44
2005,61
2006,67
2007,62
2008,59
2009,80
2010,109
2011,66
2012,85
