year,Justina
1880,0
1881,0
1882,6
1883,0
1884,0
1885,0
1886,9
1887,7
1888,6
1889,8
1890,9
1891,9
1892,6
1893,9
1894,11
1895,8
1896,14
1897,10
1898,13
1899,10
1900,9
1901,6
1902,5
1903,11
1904,13
1905,11
1906,12
1907,14
1908,10
1909,16
1910,19
1911,24
1912,14
1913,22
1914,19
1915,42
1916,36
1917,43
1918,40
1919,36
1920,41
1921,36
1922,30
1923,46
1924,33
1925,39
1926,35
1927,38
1928,31
1929,23
1930,23
1931,20
1932,29
1933,25
1934,11
1935,25
1936,23
1937,13
1938,22
1939,19
1940,23
1941,23
1942,20
1943,20
1944,19
1945,18
1946,18
1947,38
1948,29
1949,24
1950,35
1951,42
1952,23
1953,34
1954,31
1955,41
1956,45
1957,48
1958,41
1959,63
1960,89
1961,97
1962,109
1963,101
1964,108
1965,113
1966,89
1967,82
1968,106
1969,89
1970,106
1971,105
1972,94
1973,113
1974,121
1975,135
1976,151
1977,135
1978,151
1979,158
1980,172
1981,166
1982,169
1983,240
1984,275
1985,315
1986,347
1987,355
1988,418
1989,423
1990,450
1991,418
1992,363
1993,333
1994,321
1995,288
1996,286
1997,230
1998,229
1999,212
2000,183
2001,180
2002,160
2003,141
2004,147
2005,125
2006,109
2007,103
2008,96
2009,76
2010,75
2011,92
2012,80
