year,Jeannie
1880,0
1881,0
1882,5
1883,6
1884,0
1885,8
1886,5
1887,0
1888,10
1889,7
1890,0
1891,0
1892,0
1893,6
1894,0
1895,7
1896,0
1897,6
1898,5
1899,6
1900,0
1901,5
1902,6
1903,0
1904,0
1905,5
1906,6
1907,6
1908,12
1909,9
1910,8
1911,7
1912,19
1913,12
1914,22
1915,22
1916,29
1917,27
1918,28
1919,41
1920,40
1921,43
1922,52
1923,62
1924,81
1925,69
1926,86
1927,61
1928,83
1929,75
1930,94
1931,66
1932,110
1933,116
1934,134
1935,115
1936,121
1937,142
1938,152
1939,192
1940,279
1941,367
1942,360
1943,407
1944,428
1945,478
1946,669
1947,732
1948,736
1949,797
1950,774
1951,729
1952,847
1953,901
1954,922
1955,994
1956,1150
1957,1433
1958,1067
1959,991
1960,1061
1961,880
1962,756
1963,708
1964,650
1965,550
1966,681
1967,638
1968,677
1969,768
1970,836
1971,833
1972,812
1973,673
1974,820
1975,704
1976,513
1977,474
1978,407
1979,426
1980,480
1981,392
1982,370
1983,297
1984,338
1985,302
1986,248
1987,235
1988,199
1989,174
1990,147
1991,172
1992,149
1993,107
1994,112
1995,102
1996,104
1997,69
1998,69
1999,66
2000,57
2001,84
2002,66
2003,58
2004,36
2005,49
2006,38
2007,39
2008,38
2009,28
2010,26
2011,29
2012,28
