year,Jeane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,6
1892,0
1893,7
1894,5
1895,7
1896,0
1897,0
1898,5
1899,6
1900,10
1901,12
1902,10
1903,11
1904,15
1905,15
1906,19
1907,16
1908,13
1909,21
1910,16
1911,22
1912,24
1913,24
1914,42
1915,51
1916,69
1917,64
1918,88
1919,82
1920,126
1921,129
1922,143
1923,151
1924,153
1925,145
1926,136
1927,135
1928,114
1929,97
1930,109
1931,84
1932,96
1933,76
1934,74
1935,69
1936,50
1937,54
1938,55
1939,47
1940,46
1941,43
1942,60
1943,70
1944,53
1945,47
1946,71
1947,68
1948,57
1949,47
1950,51
1951,58
1952,41
1953,55
1954,38
1955,58
1956,56
1957,49
1958,44
1959,47
1960,34
1961,42
1962,38
1963,23
1964,33
1965,24
1966,26
1967,30
1968,12
1969,26
1970,24
1971,17
1972,19
1973,18
1974,15
1975,16
1976,14
1977,16
1978,20
1979,15
1980,12
1981,13
1982,17
1983,21
1984,17
1985,15
1986,12
1987,6
1988,11
1989,16
1990,11
1991,10
1992,8
1993,11
1994,9
1995,12
1996,0
1997,10
1998,15
1999,0
2000,7
2001,10
2002,0
2003,8
2004,5
2005,0
2006,0
2007,0
2008,5
2009,5
2010,0
2011,0
2012,0
