year,Jeffie
1880,0
1881,5
1882,7
1883,6
1884,0
1885,5
1886,6
1887,5
1888,5
1889,8
1890,9
1891,0
1892,12
1893,6
1894,11
1895,0
1896,8
1897,5
1898,11
1899,8
1900,13
1901,14
1902,0
1903,7
1904,8
1905,18
1906,13
1907,14
1908,10
1909,13
1910,17
1911,20
1912,24
1913,21
1914,34
1915,35
1916,40
1917,40
1918,50
1919,45
1920,39
1921,40
1922,39
1923,40
1924,34
1925,45
1926,45
1927,36
1928,39
1929,22
1930,26
1931,37
1932,31
1933,25
1934,26
1935,19
1936,28
1937,25
1938,14
1939,26
1940,34
1941,33
1942,22
1943,23
1944,14
1945,26
1946,20
1947,18
1948,19
1949,19
1950,16
1951,12
1952,17
1953,6
1954,27
1955,7
1956,16
1957,17
1958,24
1959,5
1960,18
1961,6
1962,19
1963,8
1964,5
1965,6
1966,12
1967,9
1968,6
1969,0
1970,5
1971,0
1972,0
1973,0
1974,0
1975,0
1976,5
1977,8
1978,6
1979,0
1980,0
1981,0
1982,0
1983,6
1984,0
1985,0
1986,6
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
