year,Julianna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,6
1902,0
1903,0
1904,6
1905,0
1906,0
1907,5
1908,0
1909,8
1910,11
1911,11
1912,18
1913,21
1914,21
1915,36
1916,27
1917,32
1918,29
1919,28
1920,24
1921,28
1922,20
1923,22
1924,24
1925,14
1926,18
1927,22
1928,21
1929,16
1930,17
1931,22
1932,21
1933,21
1934,16
1935,17
1936,21
1937,27
1938,24
1939,42
1940,40
1941,51
1942,53
1943,53
1944,37
1945,31
1946,36
1947,40
1948,62
1949,51
1950,56
1951,45
1952,70
1953,62
1954,73
1955,62
1956,66
1957,88
1958,88
1959,82
1960,101
1961,105
1962,87
1963,109
1964,104
1965,116
1966,105
1967,99
1968,98
1969,126
1970,115
1971,127
1972,123
1973,116
1974,116
1975,119
1976,116
1977,119
1978,119
1979,134
1980,148
1981,155
1982,202
1983,156
1984,184
1985,307
1986,283
1987,282
1988,315
1989,395
1990,338
1991,467
1992,397
1993,390
1994,455
1995,641
1996,832
1997,963
1998,1190
1999,1209
2000,1287
2001,1784
2002,1748
2003,1734
2004,1689
2005,1616
2006,1811
2007,1784
2008,1732
2009,1700
2010,1745
2011,1733
2012,1689
