year,Jones
1880,9
1881,6
1882,11
1883,0
1884,13
1885,13
1886,10
1887,0
1888,14
1889,8
1890,8
1891,10
1892,8
1893,9
1894,12
1895,8
1896,11
1897,7
1898,0
1899,10
1900,6
1901,14
1902,10
1903,0
1904,13
1905,9
1906,12
1907,12
1908,7
1909,13
1910,13
1911,19
1912,23
1913,29
1914,41
1915,40
1916,64
1917,40
1918,58
1919,62
1920,58
1921,62
1922,44
1923,43
1924,54
1925,55
1926,44
1927,49
1928,44
1929,44
1930,40
1931,47
1932,24
1933,32
1934,36
1935,29
1936,33
1937,35
1938,29
1939,27
1940,27
1941,27
1942,35
1943,24
1944,28
1945,23
1946,23
1947,28
1948,27
1949,23
1950,29
1951,26
1952,21
1953,24
1954,23
1955,29
1956,17
1957,16
1958,26
1959,13
1960,21
1961,16
1962,12
1963,18
1964,11
1965,14
1966,16
1967,11
1968,11
1969,15
1970,9
1971,11
1972,10
1973,7
1974,11
1975,13
1976,7
1977,12
1978,8
1979,8
1980,13
1981,8
1982,14
1983,17
1984,14
1985,11
1986,10
1987,7
1988,16
1989,7
1990,5
1991,10
1992,12
1993,9
1994,5
1995,19
1996,11
1997,14
1998,18
1999,9
2000,14
2001,17
2002,15
2003,25
2004,27
2005,41
2006,30
2007,31
2008,44
2009,44
2010,50
2011,64
2012,70
