year,Jenny
1880,13
1881,15
1882,16
1883,11
1884,17
1885,17
1886,16
1887,18
1888,24
1889,20
1890,17
1891,17
1892,27
1893,24
1894,25
1895,23
1896,29
1897,23
1898,25
1899,27
1900,39
1901,26
1902,24
1903,29
1904,16
1905,18
1906,35
1907,45
1908,35
1909,39
1910,41
1911,41
1912,72
1913,80
1914,84
1915,106
1916,136
1917,131
1918,142
1919,146
1920,188
1921,178
1922,174
1923,189
1924,212
1925,207
1926,211
1927,226
1928,191
1929,216
1930,236
1931,232
1932,207
1933,225
1934,156
1935,194
1936,173
1937,184
1938,196
1939,185
1940,248
1941,258
1942,289
1943,310
1944,306
1945,310
1946,405
1947,549
1948,474
1949,540
1950,575
1951,668
1952,784
1953,754
1954,836
1955,766
1956,768
1957,1127
1958,1217
1959,1286
1960,1361
1961,1259
1962,1405
1963,1301
1964,1145
1965,994
1966,866
1967,776
1968,865
1969,1039
1970,1418
1971,2258
1972,2644
1973,2072
1974,2144
1975,2069
1976,2437
1977,2699
1978,2629
1979,2643
1980,2663
1981,2416
1982,2467
1983,2262
1984,2150
1985,1818
1986,1643
1987,1713
1988,1419
1989,1293
1990,1349
1991,1267
1992,1140
1993,1019
1994,987
1995,989
1996,1012
1997,874
1998,777
1999,758
2000,826
2001,810
2002,840
2003,709
2004,685
2005,611
2006,666
2007,616
2008,511
2009,406
2010,350
2011,361
2012,307
