year,Jannie
1880,21
1881,9
1882,19
1883,18
1884,23
1885,24
1886,41
1887,24
1888,44
1889,34
1890,53
1891,28
1892,48
1893,44
1894,60
1895,59
1896,56
1897,67
1898,78
1899,54
1900,105
1901,56
1902,83
1903,68
1904,77
1905,100
1906,76
1907,113
1908,89
1909,112
1910,142
1911,119
1912,123
1913,139
1914,156
1915,221
1916,213
1917,220
1918,230
1919,237
1920,253
1921,235
1922,237
1923,245
1924,281
1925,245
1926,271
1927,256
1928,240
1929,232
1930,220
1931,192
1932,233
1933,227
1934,233
1935,202
1936,177
1937,200
1938,207
1939,218
1940,244
1941,237
1942,261
1943,256
1944,266
1945,241
1946,246
1947,266
1948,258
1949,264
1950,254
1951,239
1952,229
1953,206
1954,217
1955,222
1956,189
1957,179
1958,145
1959,137
1960,137
1961,105
1962,97
1963,83
1964,105
1965,103
1966,80
1967,77
1968,50
1969,64
1970,50
1971,44
1972,51
1973,40
1974,45
1975,35
1976,41
1977,40
1978,33
1979,42
1980,37
1981,26
1982,33
1983,33
1984,32
1985,34
1986,39
1987,23
1988,40
1989,40
1990,31
1991,24
1992,23
1993,27
1994,22
1995,28
1996,13
1997,16
1998,22
1999,25
2000,24
2001,30
2002,15
2003,16
2004,12
2005,26
2006,13
2007,13
2008,18
2009,16
2010,15
2011,9
2012,17
