year,Jettie
1880,9
1881,8
1882,15
1883,13
1884,16
1885,10
1886,21
1887,20
1888,29
1889,28
1890,17
1891,27
1892,19
1893,27
1894,24
1895,44
1896,28
1897,30
1898,31
1899,31
1900,39
1901,27
1902,29
1903,36
1904,38
1905,37
1906,37
1907,38
1908,25
1909,35
1910,39
1911,57
1912,36
1913,62
1914,69
1915,87
1916,74
1917,83
1918,109
1919,74
1920,87
1921,90
1922,87
1923,89
1924,86
1925,79
1926,56
1927,73
1928,67
1929,62
1930,67
1931,65
1932,72
1933,53
1934,53
1935,63
1936,62
1937,60
1938,49
1939,55
1940,51
1941,46
1942,39
1943,44
1944,46
1945,29
1946,48
1947,46
1948,42
1949,20
1950,45
1951,35
1952,28
1953,20
1954,17
1955,21
1956,24
1957,15
1958,17
1959,28
1960,23
1961,14
1962,14
1963,12
1964,11
1965,10
1966,11
1967,8
1968,0
1969,7
1970,7
1971,6
1972,7
1973,0
1974,5
1975,6
1976,8
1977,7
1978,5
1979,17
1980,5
1981,0
1982,6
1983,6
1984,10
1985,0
1986,9
1987,5
1988,0
1989,6
1990,7
1991,5
1992,0
1993,0
1994,7
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,0
