year,Juana
1880,5
1881,8
1882,7
1883,9
1884,10
1885,11
1886,12
1887,8
1888,11
1889,11
1890,14
1891,10
1892,14
1893,14
1894,18
1895,24
1896,12
1897,15
1898,17
1899,15
1900,34
1901,30
1902,28
1903,29
1904,45
1905,27
1906,41
1907,37
1908,35
1909,52
1910,39
1911,47
1912,60
1913,70
1914,119
1915,87
1916,68
1917,102
1918,119
1919,135
1920,156
1921,163
1922,146
1923,171
1924,201
1925,185
1926,205
1927,178
1928,200
1929,192
1930,185
1931,134
1932,114
1933,109
1934,83
1935,93
1936,81
1937,86
1938,79
1939,93
1940,78
1941,68
1942,65
1943,80
1944,88
1945,120
1946,121
1947,125
1948,134
1949,184
1950,186
1951,161
1952,172
1953,177
1954,132
1955,141
1956,121
1957,147
1958,119
1959,169
1960,163
1961,155
1962,140
1963,140
1964,167
1965,142
1966,124
1967,136
1968,154
1969,175
1970,177
1971,176
1972,190
1973,190
1974,213
1975,241
1976,205
1977,203
1978,184
1979,203
1980,219
1981,197
1982,187
1983,200
1984,170
1985,137
1986,190
1987,180
1988,164
1989,221
1990,249
1991,262
1992,247
1993,248
1994,264
1995,253
1996,220
1997,206
1998,190
1999,226
2000,206
2001,214
2002,221
2003,188
2004,195
2005,244
2006,221
2007,181
2008,190
2009,160
2010,144
2011,118
2012,109
