year,Jesse (F),Jesse (M)
1880,0.000025,0.002824
1881,0.000026,0.002782
1882,0.000023,0.002979
1883,0.000028,0.002692
1884,0.000058,0.002752
1885,0.000062,0.002308
1886,0.000024,0.002405
1887,0.000040,0.002429
1888,0.000040,0.002127
1889,0.000048,0.001993
1890,0.000033,0.001911
1891,0.000038,0.001810
1892,0.000042,0.001800
1893,0.000037,0.001663
1894,0.000032,0.001674
1895,0.000031,0.001644
1896,0.000042,0.001639
1897,0.000029,0.001525
1898,0.000039,0.001248
1899,0.000050,0.001247
1900,0.000022,0.001190
1901,0.000038,0.001189
1902,0.000039,0.001130
1903,0.000042,0.001018
1904,0.000030,0.001098
1905,0.000054,0.001045
1906,0.000035,0.001018
1907,0.000021,0.001001
1908,0.000016,0.000986
1909,0.000035,0.001011
1910,0.000019,0.000999
1911,0.000025,0.000925
1912,0.000027,0.001119
1913,0.000027,0.001068
1914,0.000018,0.001029
1915,0.000023,0.001152
1916,0.000016,0.001153
1917,0.000012,0.001096
1918,0.000026,0.001121
1919,0.000023,0.001116
1920,0.000016,0.001070
1921,0.000019,0.001065
1922,0.000015,0.001046
1923,0.000016,0.001037
1924,0.000023,0.000962
1925,0.000022,0.001017
1926,0.000023,0.001001
1927,0.000019,0.001000
1928,0.000018,0.000960
1929,0.000019,0.000926
1930,0.000013,0.000915
1931,0.000017,0.000901
1932,0.000015,0.000882
1933,0.000012,0.000902
1934,0.000011,0.000892
1935,0.000014,0.000892
1936,0.000009,0.000879
1937,0.000009,0.000876
1938,0.000013,0.000864
1939,0.000012,0.000912
1940,0.000011,0.000958
1941,0.000007,0.000897
1942,0.000009,0.000876
1943,0.000009,0.000859
1944,0.000008,0.000859
1945,0.000008,0.000824
1946,0.000004,0.000772
1947,0.000007,0.000764
1948,0.000006,0.000783
1949,0.000006,0.000776
1950,0.000008,0.000744
1951,0.000010,0.000725
1952,0.000009,0.000717
1953,0.000007,0.000731
1954,0.000007,0.000694
1955,0.000006,0.000694
1956,0.000006,0.000636
1957,0.000006,0.000652
1958,0.000005,0.000602
1959,0.000004,0.000585
1960,0.000008,0.000572
1961,0.000009,0.000556
1962,0.000007,0.000564
1963,0.000008,0.000564
1964,0.000008,0.000563
1965,0.000006,0.000610
1966,0.000011,0.000666
1967,0.000009,0.000644
1968,0.000008,0.000636
1969,0.000015,0.000684
1970,0.000014,0.000768
1971,0.000015,0.000875
1972,0.000017,0.001027
1973,0.000020,0.001141
1974,0.000027,0.001350
1975,0.000039,0.001468
1976,0.000045,0.001747
1977,0.000051,0.001833
1978,0.000060,0.001924
1979,0.000068,0.002009
1980,0.000085,0.002434
1981,0.000110,0.003021
1982,0.000088,0.002710
1983,0.000074,0.002446
1984,0.000082,0.002181
1985,0.000078,0.002303
1986,0.000099,0.002402
1987,0.000089,0.002215
1988,0.000086,0.002141
1989,0.000082,0.002305
1990,0.000088,0.002272
1991,0.000087,0.002149
1992,0.000081,0.002229
1993,0.000089,0.002192
1994,0.000096,0.002336
1995,0.000100,0.002047
1996,0.000079,0.001940
1997,0.000073,0.001632
1998,0.000074,0.001480
1999,0.000096,0.001355
2000,0.000075,0.001187
2001,0.000052,0.001128
2002,0.000051,0.001186
2003,0.000045,0.001211
2004,0.000047,0.001246
2005,0.000045,0.001234
2006,0.000031,0.001105
2007,0.000029,0.001033
2008,0.000031,0.001006
2009,0.000028,0.000963
2010,0.000029,0.000887
2011,0.000022,0.000812
2012,0.000022,0.000741
2013,0.000019,0.000704
2014,0.000019,0.000665
2015,0.000018,0.000637
2016,0.000018,0.000628
2017,0.000021,0.000588
2018,0.000023,0.000610
2019,0.000017,0.000565
2020,0.000019,0.000562
