year,Justus
1880,11
1881,5
1882,9
1883,0
1884,6
1885,6
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,8
1902,5
1903,7
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,6
1912,11
1913,22
1914,22
1915,26
1916,25
1917,28
1918,24
1919,27
1920,26
1921,28
1922,28
1923,25
1924,22
1925,17
1926,17
1927,16
1928,15
1929,13
1930,14
1931,11
1932,12
1933,12
1934,11
1935,8
1936,13
1937,10
1938,11
1939,11
1940,8
1941,8
1942,10
1943,8
1944,12
1945,21
1946,9
1947,14
1948,6
1949,10
1950,6
1951,13
1952,9
1953,7
1954,9
1955,5
1956,11
1957,6
1958,13
1959,5
1960,0
1961,12
1962,0
1963,11
1964,9
1965,13
1966,8
1967,6
1968,0
1969,7
1970,5
1971,11
1972,19
1973,18
1974,35
1975,34
1976,39
1977,36
1978,39
1979,37
1980,52
1981,41
1982,46
1983,54
1984,30
1985,42
1986,23
1987,41
1988,29
1989,38
1990,42
1991,60
1992,87
1993,117
1994,201
1995,261
1996,287
1997,254
1998,250
1999,280
2000,290
2001,291
2002,336
2003,257
2004,293
2005,315
2006,318
2007,319
2008,308
2009,321
2010,274
2011,272
2012,312
