year,Josephus
1880,0
1881,0
1882,6
1883,5
1884,5
1885,6
1886,6
1887,0
1888,0
1889,7
1890,6
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,8
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,7
1909,6
1910,9
1911,6
1912,0
1913,13
1914,10
1915,26
1916,19
1917,22
1918,15
1919,23
1920,20
1921,21
1922,22
1923,28
1924,24
1925,19
1926,17
1927,19
1928,22
1929,14
1930,17
1931,19
1932,11
1933,19
1934,20
1935,8
1936,16
1937,12
1938,18
1939,16
1940,19
1941,12
1942,16
1943,14
1944,16
1945,16
1946,11
1947,12
1948,15
1949,25
1950,22
1951,18
1952,20
1953,18
1954,14
1955,15
1956,9
1957,10
1958,9
1959,6
1960,15
1961,11
1962,10
1963,13
1964,5
1965,7
1966,13
1967,5
1968,6
1969,9
1970,10
1971,8
1972,9
1973,9
1974,8
1975,10
1976,14
1977,9
1978,6
1979,6
1980,11
1981,9
1982,13
1983,12
1984,0
1985,8
1986,0
1987,0
1988,6
1989,0
1990,11
1991,6
1992,7
1993,5
1994,7
1995,5
1996,0
1997,0
1998,5
1999,0
2000,0
2001,5
2002,5
2003,0
2004,6
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,7
2012,0
