year,Juluis
1880,0
1881,5
1882,0
1883,0
1884,6
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,0
1896,0
1897,0
1898,8
1899,0
1900,0
1901,0
1902,6
1903,0
1904,5
1905,0
1906,5
1907,0
1908,0
1909,5
1910,8
1911,9
1912,10
1913,15
1914,23
1915,30
1916,29
1917,23
1918,27
1919,23
1920,32
1921,31
1922,28
1923,33
1924,20
1925,31
1926,22
1927,21
1928,24
1929,22
1930,11
1931,18
1932,12
1933,11
1934,16
1935,14
1936,9
1937,0
1938,8
1939,5
1940,0
1941,7
1942,8
1943,6
1944,0
1945,0
1946,8
1947,6
1948,0
1949,0
1950,5
1951,9
1952,8
1953,10
1954,7
1955,6
1956,5
1957,6
1958,7
1959,0
1960,5
1961,6
1962,12
1963,10
1964,0
1965,6
1966,6
1967,0
1968,0
1969,0
1970,6
1971,6
1972,5
1973,6
1974,7
1975,0
1976,6
1977,5
1978,6
1979,0
1980,7
1981,8
1982,0
1983,0
1984,10
1985,12
1986,6
1987,5
1988,5
1989,8
1990,7
1991,0
1992,0
1993,7
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,7
2008,0
2009,0
2010,0
2011,0
2012,0
