year,Johney
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,7
1903,0
1904,0
1905,0
1906,8
1907,8
1908,0
1909,5
1910,12
1911,11
1912,10
1913,11
1914,25
1915,21
1916,20
1917,37
1918,36
1919,45
1920,25
1921,33
1922,34
1923,28
1924,29
1925,30
1926,44
1927,24
1928,29
1929,26
1930,19
1931,30
1932,27
1933,25
1934,28
1935,25
1936,30
1937,21
1938,27
1939,21
1940,26
1941,20
1942,21
1943,25
1944,16
1945,18
1946,29
1947,21
1948,17
1949,25
1950,18
1951,18
1952,23
1953,21
1954,18
1955,18
1956,19
1957,8
1958,17
1959,12
1960,16
1961,26
1962,12
1963,8
1964,12
1965,11
1966,15
1967,9
1968,11
1969,6
1970,19
1971,7
1972,14
1973,10
1974,0
1975,5
1976,6
1977,8
1978,7
1979,6
1980,7
1981,8
1982,9
1983,0
1984,5
1985,5
1986,7
1987,10
1988,0
1989,7
1990,7
1991,0
1992,6
1993,6
1994,0
1995,0
1996,7
1997,0
1998,5
1999,0
2000,0
2001,0
2002,5
2003,0
2004,5
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
