year,Josefina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,0
1889,8
1890,9
1891,0
1892,5
1893,5
1894,8
1895,11
1896,8
1897,0
1898,5
1899,15
1900,21
1901,12
1902,19
1903,11
1904,18
1905,16
1906,16
1907,20
1908,24
1909,17
1910,32
1911,36
1912,54
1913,52
1914,51
1915,46
1916,82
1917,70
1918,87
1919,102
1920,130
1921,125
1922,143
1923,167
1924,153
1925,164
1926,198
1927,179
1928,209
1929,202
1930,210
1931,151
1932,132
1933,128
1934,113
1935,125
1936,96
1937,102
1938,96
1939,94
1940,96
1941,95
1942,82
1943,114
1944,105
1945,134
1946,131
1947,133
1948,156
1949,147
1950,185
1951,153
1952,160
1953,142
1954,153
1955,128
1956,124
1957,126
1958,108
1959,122
1960,119
1961,109
1962,136
1963,139
1964,130
1965,125
1966,117
1967,145
1968,129
1969,117
1970,134
1971,138
1972,129
1973,142
1974,133
1975,156
1976,128
1977,143
1978,123
1979,148
1980,175
1981,166
1982,153
1983,140
1984,132
1985,122
1986,118
1987,119
1988,137
1989,110
1990,125
1991,142
1992,124
1993,125
1994,121
1995,129
1996,126
1997,114
1998,122
1999,117
2000,104
2001,91
2002,99
2003,113
2004,97
2005,115
2006,105
2007,104
2008,85
2009,85
2010,92
2011,74
2012,82
