year,Jinnie
1880,0
1881,6
1882,7
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,7
1891,0
1892,0
1893,0
1894,7
1895,7
1896,5
1897,0
1898,10
1899,9
1900,7
1901,0
1902,7
1903,9
1904,0
1905,6
1906,13
1907,8
1908,8
1909,0
1910,12
1911,7
1912,9
1913,11
1914,0
1915,13
1916,10
1917,13
1918,12
1919,16
1920,21
1921,17
1922,20
1923,13
1924,16
1925,19
1926,18
1927,23
1928,10
1929,7
1930,18
1931,7
1932,12
1933,11
1934,12
1935,14
1936,10
1937,7
1938,9
1939,13
1940,9
1941,13
1942,8
1943,10
1944,11
1945,15
1946,11
1947,10
1948,11
1949,8
1950,11
1951,18
1952,0
1953,6
1954,9
1955,11
1956,5
1957,10
1958,6
1959,9
1960,10
1961,12
1962,6
1963,0
1964,0
1965,8
1966,6
1967,6
1968,6
1969,7
1970,0
1971,7
1972,8
1973,6
1974,0
1975,0
1976,6
1977,5
1978,6
1979,0
1980,5
1981,9
1982,0
1983,8
1984,9
1985,6
1986,5
1987,6
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
