year,Jordon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,10
1915,8
1916,0
1917,10
1918,5
1919,5
1920,0
1921,11
1922,7
1923,8
1924,9
1925,10
1926,5
1927,11
1928,11
1929,8
1930,11
1931,19
1932,16
1933,10
1934,10
1935,11
1936,13
1937,12
1938,7
1939,9
1940,14
1941,8
1942,8
1943,6
1944,8
1945,0
1946,6
1947,0
1948,0
1949,0
1950,0
1951,0
1952,10
1953,6
1954,11
1955,0
1956,8
1957,13
1958,8
1959,11
1960,12
1961,13
1962,11
1963,7
1964,13
1965,7
1966,20
1967,7
1968,16
1969,11
1970,14
1971,11
1972,15
1973,17
1974,18
1975,21
1976,25
1977,25
1978,43
1979,63
1980,86
1981,140
1982,144
1983,178
1984,190
1985,268
1986,371
1987,406
1988,415
1989,574
1990,810
1991,849
1992,668
1993,654
1994,612
1995,615
1996,633
1997,669
1998,622
1999,587
2000,588
2001,493
2002,459
2003,457
2004,389
2005,351
2006,316
2007,329
2008,283
2009,244
2010,214
2011,181
2012,170
