year,Johnny (F),Johnny (M)
1880,0.000000,0.000099
1881,0.000000,0.000067
1882,0.000000,0.000072
1883,0.000000,0.000065
1884,0.000000,0.000062
1885,0.000000,0.000087
1886,0.000000,0.000090
1887,0.000000,0.000125
1888,0.000000,0.000070
1889,0.000000,0.000069
1890,0.000000,0.000076
1891,0.000000,0.000108
1892,0.000000,0.000099
1893,0.000000,0.000065
1894,0.000000,0.000086
1895,0.000000,0.000100
1896,0.000014,0.000106
1897,0.000014,0.000089
1898,0.000000,0.000102
1899,0.000000,0.000106
1900,0.000000,0.000160
1901,0.000000,0.000139
1902,0.000000,0.000181
1903,0.000000,0.000155
1904,0.000000,0.000191
1905,0.000000,0.000196
1906,0.000014,0.000196
1907,0.000017,0.000208
1908,0.000010,0.000219
1909,0.000014,0.000229
1910,0.000019,0.000283
1911,0.000016,0.000228
1912,0.000007,0.000220
1913,0.000013,0.000231
1914,0.000013,0.000234
1915,0.000016,0.000228
1916,0.000010,0.000237
1917,0.000013,0.000265
1918,0.000016,0.000297
1919,0.000017,0.000313
1920,0.000015,0.000339
1921,0.000020,0.000353
1922,0.000017,0.000377
1923,0.000019,0.000424
1924,0.000019,0.000439
1925,0.000018,0.000500
1926,0.000020,0.000561
1927,0.000019,0.000582
1928,0.000031,0.000676
1929,0.000021,0.000699
1930,0.000024,0.000819
1931,0.000020,0.000815
1932,0.000020,0.000953
1933,0.000024,0.001026
1934,0.000014,0.001125
1935,0.000019,0.001212
1936,0.000024,0.001315
1937,0.000017,0.001326
1938,0.000018,0.001445
1939,0.000016,0.001530
1940,0.000026,0.001737
1941,0.000020,0.001635
1942,0.000019,0.001679
1943,0.000019,0.001906
1944,0.000019,0.002104
1945,0.000019,0.002149
1946,0.000016,0.002067
1947,0.000016,0.002066
1948,0.000012,0.001988
1949,0.000022,0.002000
1950,0.000018,0.001878
1951,0.000017,0.001818
1952,0.000018,0.001784
1953,0.000018,0.001743
1954,0.000015,0.001661
1955,0.000014,0.001648
1956,0.000015,0.001611
1957,0.000012,0.001546
1958,0.000015,0.001533
1959,0.000019,0.001516
1960,0.000018,0.001487
1961,0.000017,0.001426
1962,0.000016,0.001432
1963,0.000014,0.001370
1964,0.000014,0.001303
1965,0.000012,0.001292
1966,0.000013,0.001255
1967,0.000016,0.001228
1968,0.000011,0.001200
1969,0.000015,0.001213
1970,0.000013,0.001231
1971,0.000013,0.001148
1972,0.000011,0.001134
1973,0.000015,0.001082
1974,0.000012,0.001042
1975,0.000011,0.000983
1976,0.000012,0.000947
1977,0.000013,0.000882
1978,0.000012,0.000807
1979,0.000011,0.000736
1980,0.000006,0.000766
1981,0.000009,0.000738
1982,0.000007,0.000709
1983,0.000006,0.000682
1984,0.000006,0.000651
1985,0.000006,0.000619
1986,0.000007,0.000620
1987,0.000008,0.000611
1988,0.000006,0.000613
1989,0.000003,0.000598
1990,0.000004,0.000628
1991,0.000004,0.000577
1992,0.000005,0.000545
1993,0.000003,0.000521
1994,0.000004,0.000524
1995,0.000004,0.000461
1996,0.000001,0.000442
1997,0.000002,0.000405
1998,0.000002,0.000404
1999,0.000002,0.000405
2000,0.000002,0.000387
2001,0.000002,0.000410
2002,0.000003,0.000385
2003,0.000002,0.000360
2004,0.000003,0.000344
2005,0.000001,0.000363
2006,0.000001,0.000369
2007,0.000002,0.000377
2008,0.000002,0.000376
2009,0.000002,0.000352
2010,0.000002,0.000350
2011,0.000001,0.000342
2012,0.000001,0.000340
2013,0.000002,0.000364
2014,0.000002,0.000320
2015,0.000002,0.000312
2016,0.000003,0.000283
2017,0.000002,0.000272
2018,0.000004,0.000267
2019,0.000002,0.000242
2020,0.000002,0.000237
